input_csv,video_id,label,label_name,num_frames,hip_valid_frames,angle_valid_frames,bbox_valid_frames,all_rule_features_valid_frames,hip_descent_velocity_max,hip_descent_velocity_mean,hip_descent_velocity_std,body_angle_min,body_angle_mean,width_height_ratio_max,width_height_ratio_mean,default_angle_lt_45_frames,default_ratio_gt_1_frames,output_csv,split
C:\Users\ASUS\Downloads\3D_Human_Pose_NCKH\paper_baselines\chen2020_yolov8_three_thresholds\data\chen_nodes\Fall\Fall_Fall_f_raw_b_1_B_D_0001.csv,Fall_Fall_f_raw_b_1_B_D_0001,1,Fall,89,89,89,89,89,105.527099609375,10.416829109191896,27.2178955078125,19.635528564453125,60.390228271484375,2.3105251789093018,0.8739418387413025,17,23,C:\Users\ASUS\Downloads\3D_Human_Pose_NCKH\paper_baselines\chen2020_yolov8_three_thresholds\data\rule_features\Fall\Fall_Fall_f_raw_b_1_B_D_0001_rule_features.csv,test
C:\Users\ASUS\Downloads\3D_Human_Pose_NCKH\paper_baselines\chen2020_yolov8_three_thresholds\data\chen_nodes\Fall\Fall_Fall_f_raw_b_1_B_D_0002.csv,Fall_Fall_f_raw_b_1_B_D_0002,1,Fall,150,150,150,150,150,281.80908203125,6.023848533630371,37.970340728759766,19.79475212097168,44.910980224609375,2.2345778942108154,1.2218884229660034,107,113,C:\Users\ASUS\Downloads\3D_Human_Pose_NCKH\paper_baselines\chen2020_yolov8_three_thresholds\data\rule_features\Fall\Fall_Fall_f_raw_b_1_B_D_0002_rule_features.csv,train
C:\Users\ASUS\Downloads\3D_Human_Pose_NCKH\paper_baselines\chen2020_yolov8_three_thresholds\data\chen_nodes\Fall\Fall_Fall_f_raw_b_1_B_D_0003.csv,Fall_Fall_f_raw_b_1_B_D_0003,1,Fall,118,118,118,118,118,80.57977294921875,11.088223457336426,25.660179138183597,12.813103675842283,38.375614166259766,2.0580265522003174,1.4779340028762815,87,99,C:\Users\ASUS\Downloads\3D_Human_Pose_NCKH\paper_baselines\chen2020_yolov8_three_thresholds\data\rule_features\Fall\Fall_Fall_f_raw_b_1_B_D_0003_rule_features.csv,train
C:\Users\ASUS\Downloads\3D_Human_Pose_NCKH\paper_baselines\chen2020_yolov8_three_thresholds\data\chen_nodes\Fall\Fall_Fall_f_raw_b_1_B_D_0004.csv,Fall_Fall_f_raw_b_1_B_D_0004,1,Fall,118,118,118,118,118,80.57977294921875,11.088223457336426,25.660179138183597,12.813103675842283,38.375614166259766,2.0580265522003174,1.4779340028762815,87,99,C:\Users\ASUS\Downloads\3D_Human_Pose_NCKH\paper_baselines\chen2020_yolov8_three_thresholds\data\rule_features\Fall\Fall_Fall_f_raw_b_1_B_D_0004_rule_features.csv,train
C:\Users\ASUS\Downloads\3D_Human_Pose_NCKH\paper_baselines\chen2020_yolov8_three_thresholds\data\chen_nodes\Fall\Fall_Fall_f_raw_b_1_B_D_0005.csv,Fall_Fall_f_raw_b_1_B_D_0005,1,Fall,120,120,120,120,120,104.9224853515625,10.58565902709961,22.334516525268555,27.690624237060547,51.66066360473633,2.170807361602783,1.1070903539657593,40,60,C:\Users\ASUS\Downloads\3D_Human_Pose_NCKH\paper_baselines\chen2020_yolov8_three_thresholds\data\rule_features\Fall\Fall_Fall_f_raw_b_1_B_D_0005_rule_features.csv,train
C:\Users\ASUS\Downloads\3D_Human_Pose_NCKH\paper_baselines\chen2020_yolov8_three_thresholds\data\chen_nodes\Fall\Fall_Fall_f_raw_b_1_B_D_0006_resized.csv,Fall_Fall_f_raw_b_1_B_D_0006_resized,1,Fall,90,90,90,90,90,84.06903076171875,2.4224982261657715,21.164634704589844,53.75175094604492,71.91018676757812,0.8878356218338013,0.7063701748847961,0,0,C:\Users\ASUS\Downloads\3D_Human_Pose_NCKH\paper_baselines\chen2020_yolov8_three_thresholds\data\rule_features\Fall\Fall_Fall_f_raw_b_1_B_D_0006_resized_rule_features.csv,train
C:\Users\ASUS\Downloads\3D_Human_Pose_NCKH\paper_baselines\chen2020_yolov8_three_thresholds\data\chen_nodes\Fall\Fall_Fall_f_raw_b_1_B_D_0007_resized.csv,Fall_Fall_f_raw_b_1_B_D_0007_resized,1,Fall,90,90,90,90,90,86.29132080078125,4.194336891174316,18.80551147460937,64.57357788085938,77.6234130859375,0.7408559322357178,0.5295339226722717,0,0,C:\Users\ASUS\Downloads\3D_Human_Pose_NCKH\paper_baselines\chen2020_yolov8_three_thresholds\data\rule_features\Fall\Fall_Fall_f_raw_b_1_B_D_0007_resized_rule_features.csv,test
C:\Users\ASUS\Downloads\3D_Human_Pose_NCKH\paper_baselines\chen2020_yolov8_three_thresholds\data\chen_nodes\Fall\Fall_Fall_f_raw_b_1_B_D_0008_resized.csv,Fall_Fall_f_raw_b_1_B_D_0008_resized,1,Fall,90,90,90,90,90,133.38385009765625,1.1363403797149658,34.00629425048828,60.52857971191406,68.14774322509766,0.9252347946166992,0.7182753086090088,0,0,C:\Users\ASUS\Downloads\3D_Human_Pose_NCKH\paper_baselines\chen2020_yolov8_three_thresholds\data\rule_features\Fall\Fall_Fall_f_raw_b_1_B_D_0008_resized_rule_features.csv,val
C:\Users\ASUS\Downloads\3D_Human_Pose_NCKH\paper_baselines\chen2020_yolov8_three_thresholds\data\chen_nodes\Fall\Fall_Fall_f_raw_b_1_B_D_0009_resized.csv,Fall_Fall_f_raw_b_1_B_D_0009_resized,1,Fall,120,120,120,120,120,90.5491943359375,2.131922006607056,22.450742721557617,61.0836067199707,70.83489227294922,0.9232205748558044,0.7547834515571594,0,0,C:\Users\ASUS\Downloads\3D_Human_Pose_NCKH\paper_baselines\chen2020_yolov8_three_thresholds\data\rule_features\Fall\Fall_Fall_f_raw_b_1_B_D_0009_resized_rule_features.csv,train
C:\Users\ASUS\Downloads\3D_Human_Pose_NCKH\paper_baselines\chen2020_yolov8_three_thresholds\data\chen_nodes\Fall\Fall_Fall_f_raw_b_1_B_D_0010_resized.csv,Fall_Fall_f_raw_b_1_B_D_0010_resized,1,Fall,90,90,90,90,90,52.49835205078125,-0.7422268390655518,17.92613410949707,52.12105941772461,65.4898681640625,0.9867064952850342,0.7352055907249451,0,0,C:\Users\ASUS\Downloads\3D_Human_Pose_NCKH\paper_baselines\chen2020_yolov8_three_thresholds\data\rule_features\Fall\Fall_Fall_f_raw_b_1_B_D_0010_resized_rule_features.csv,train
C:\Users\ASUS\Downloads\3D_Human_Pose_NCKH\paper_baselines\chen2020_yolov8_three_thresholds\data\chen_nodes\Fall\Fall_Fall_f_raw_b_1_B_D_0011.csv,Fall_Fall_f_raw_b_1_B_D_0011,1,Fall,60,60,60,60,60,95.92315673828124,16.111841201782227,28.832489013671875,36.70394515991211,55.56132507324219,1.2926902770996094,0.9235441088676452,14,30,C:\Users\ASUS\Downloads\3D_Human_Pose_NCKH\paper_baselines\chen2020_yolov8_three_thresholds\data\rule_features\Fall\Fall_Fall_f_raw_b_1_B_D_0011_rule_features.csv,train
C:\Users\ASUS\Downloads\3D_Human_Pose_NCKH\paper_baselines\chen2020_yolov8_three_thresholds\data\chen_nodes\Fall\Fall_Fall_f_raw_b_1_B_D_0012.csv,Fall_Fall_f_raw_b_1_B_D_0012,1,Fall,60,60,60,60,60,95.92315673828124,16.111841201782227,28.832489013671875,36.70394515991211,55.56132507324219,1.2926902770996094,0.9235441088676452,14,30,C:\Users\ASUS\Downloads\3D_Human_Pose_NCKH\paper_baselines\chen2020_yolov8_three_thresholds\data\rule_features\Fall\Fall_Fall_f_raw_b_1_B_D_0012_rule_features.csv,train
C:\Users\ASUS\Downloads\3D_Human_Pose_NCKH\paper_baselines\chen2020_yolov8_three_thresholds\data\chen_nodes\Fall\Fall_Fall_f_raw_b_1_B_D_0013.csv,Fall_Fall_f_raw_b_1_B_D_0013,1,Fall,120,120,120,120,120,54.9390869140625,6.742122173309326,12.566967964172363,59.04554748535156,66.523193359375,0.7615845799446106,0.6014222502708435,0,0,C:\Users\ASUS\Downloads\3D_Human_Pose_NCKH\paper_baselines\chen2020_yolov8_three_thresholds\data\rule_features\Fall\Fall_Fall_f_raw_b_1_B_D_0013_rule_features.csv,train
C:\Users\ASUS\Downloads\3D_Human_Pose_NCKH\paper_baselines\chen2020_yolov8_three_thresholds\data\chen_nodes\Fall\Fall_Fall_f_raw_b_1_B_D_0014.csv,Fall_Fall_f_raw_b_1_B_D_0014,1,Fall,360,360,360,360,360,50.36041259765625,1.6638156175613403,11.302135467529297,20.15275382995605,65.78885650634766,1.3901214599609375,0.8557863235473633,45,139,C:\Users\ASUS\Downloads\3D_Human_Pose_NCKH\paper_baselines\chen2020_yolov8_three_thresholds\data\rule_features\Fall\Fall_Fall_f_raw_b_1_B_D_0014_rule_features.csv,train
C:\Users\ASUS\Downloads\3D_Human_Pose_NCKH\paper_baselines\chen2020_yolov8_three_thresholds\data\chen_nodes\Fall\Fall_Fall_f_raw_b_1_B_D_0015.csv,Fall_Fall_f_raw_b_1_B_D_0015,1,Fall,240,240,240,240,240,61.39752197265625,2.7754292488098145,12.608386993408203,60.58294677734375,76.37200164794922,0.8098814487457275,0.5672846436500549,0,0,C:\Users\ASUS\Downloads\3D_Human_Pose_NCKH\paper_baselines\chen2020_yolov8_three_thresholds\data\rule_features\Fall\Fall_Fall_f_raw_b_1_B_D_0015_rule_features.csv,train
C:\Users\ASUS\Downloads\3D_Human_Pose_NCKH\paper_baselines\chen2020_yolov8_three_thresholds\data\chen_nodes\Fall\Fall_Fall_f_raw_b_1_B_D_0016.csv,Fall_Fall_f_raw_b_1_B_D_0016,1,Fall,360,360,360,360,360,71.22821044921875,2.0136091709136963,12.771568298339844,60.92306137084961,78.66634368896484,0.9385684132575988,0.6376955509185791,0,0,C:\Users\ASUS\Downloads\3D_Human_Pose_NCKH\paper_baselines\chen2020_yolov8_three_thresholds\data\rule_features\Fall\Fall_Fall_f_raw_b_1_B_D_0016_rule_features.csv,train
