video_id,frame_idx,source_file,label,label_name,joint_0_name,joint_0_x,joint_0_y,joint_1_name,joint_1_x,joint_1_y,joint_2_name,joint_2_x,joint_2_y,joint_3_name,joint_3_x,joint_3_y,joint_4_name,joint_4_x,joint_4_y,joint_5_name,joint_5_x,joint_5_y,joint_6_name,joint_6_x,joint_6_y,joint_7_name,joint_7_x,joint_7_y,joint_8_name,joint_8_x,joint_8_y,joint_9_name,joint_9_x,joint_9_y,joint_10_name,joint_10_x,joint_10_y,joint_11_name,joint_11_x,joint_11_y,joint_12_name,joint_12_x,joint_12_y,joint_13_name,joint_13_x,joint_13_y,joint_14_name,joint_14_x,joint_14_y,num_missing_joints_before_interpolation,all_joints_missing_before_interpolation,num_zero_joints_after_interpolation
Fall__Fall_f_raw_c_2_C_N_352,0,C:\Users\ASUS\Downloads\3D_Human_Pose_NCKH\paper_baselines\lin2021_yolov8_lstm_gru\data\paper_skeleton_csv\Fall\Fall_Fall_f_raw_c_2_C_N_352.csv,1,Fall,nose,-0.43930435,-1.0342331,neck,-0.26412356,-0.96448886,right_shoulder,-0.54200906,-0.9467524,right_elbow,-0.40774304,-0.6103204,right_wrist,-0.48698375,-0.51834,left_shoulder,0.01376195,-0.9822252,left_elbow,0.24502237,-0.60146433,left_wrist,-0.22802918,-0.53074056,mid_hip,0.0,0.0,right_hip,-0.20627531,0.019641418,right_knee,0.083167486,0.7055857,right_ankle,0.39779237,1.2881482,left_hip,0.20627525,-0.019641418,left_knee,0.4270768,0.650772,left_ankle,0.6211694,1.3205903,0,0,0
Fall__Fall_f_raw_c_2_C_N_352,1,C:\Users\ASUS\Downloads\3D_Human_Pose_NCKH\paper_baselines\lin2021_yolov8_lstm_gru\data\paper_skeleton_csv\Fall\Fall_Fall_f_raw_c_2_C_N_352.csv,1,Fall,nose,-0.43855128,-1.0345384,neck,-0.26360494,-0.9646308,right_shoulder,-0.5416984,-0.947702,right_elbow,-0.40544996,-0.61468107,right_wrist,-0.48715785,-0.521011,left_shoulder,0.014488522,-0.9815595,left_elbow,0.2441815,-0.6023483,left_wrist,-0.22896916,-0.53156316,mid_hip,0.0,0.0,right_hip,-0.20583601,0.019152952,right_knee,0.08352994,0.70557356,right_ankle,0.39668146,1.2845004,left_hip,0.20583597,-0.019152952,left_knee,0.4270917,0.65229964,left_ankle,0.6216909,1.3174776,0,0,0
Fall__Fall_f_raw_c_2_C_N_352,2,C:\Users\ASUS\Downloads\3D_Human_Pose_NCKH\paper_baselines\lin2021_yolov8_lstm_gru\data\paper_skeleton_csv\Fall\Fall_Fall_f_raw_c_2_C_N_352.csv,1,Fall,nose,-0.44679743,-1.0337616,neck,-0.2655559,-0.9640955,right_shoulder,-0.5411069,-0.94761175,right_elbow,-0.41516528,-0.6188653,right_wrist,-0.49593568,-0.515573,left_shoulder,0.009995109,-0.9805792,left_elbow,0.24362715,-0.6054536,left_wrist,-0.22152267,-0.529909,mid_hip,0.0,0.0,right_hip,-0.20601168,0.018659951,right_knee,0.07947084,0.70108324,right_ankle,0.3841616,1.2731004,left_hip,0.20601174,-0.018659888,left_knee,0.42589703,0.65130246,left_ankle,0.62549615,1.3107371,0,0,0
Fall__Fall_f_raw_c_2_C_N_352,3,C:\Users\ASUS\Downloads\3D_Human_Pose_NCKH\paper_baselines\lin2021_yolov8_lstm_gru\data\paper_skeleton_csv\Fall\Fall_Fall_f_raw_c_2_C_N_352.csv,1,Fall,nose,-0.43220863,-0.99343747,neck,-0.26711798,-0.9636638,right_shoulder,-0.53135836,-0.9405704,right_elbow,-0.43778223,-0.6216352,right_wrist,-0.47273216,-0.5498641,left_shoulder,-0.0028775653,-0.9867572,left_elbow,0.23537596,-0.59503406,left_wrist,-0.26291648,-0.5231088,mid_hip,0.0,0.0,right_hip,-0.19005927,0.021664519,right_knee,0.12813963,0.6699686,right_ankle,0.44178936,1.156526,left_hip,0.19005933,-0.021664519,left_knee,0.35492358,0.60426694,left_ankle,0.6449509,1.1775568,0,0,0
Fall__Fall_f_raw_c_2_C_N_352,4,C:\Users\ASUS\Downloads\3D_Human_Pose_NCKH\paper_baselines\lin2021_yolov8_lstm_gru\data\paper_skeleton_csv\Fall\Fall_Fall_f_raw_c_2_C_N_352.csv,1,Fall,nose,-0.438405,-0.99455255,neck,-0.26938245,-0.96303326,right_shoulder,-0.5305962,-0.9396286,right_elbow,-0.43221745,-0.6233508,right_wrist,-0.47579938,-0.5619494,left_shoulder,-0.00816868,-0.9864378,left_elbow,0.22392438,-0.59727,left_wrist,-0.27500832,-0.5240732,mid_hip,0.0,0.0,right_hip,-0.18704404,0.022009714,right_knee,0.13881746,0.6724455,right_ankle,0.44609034,1.1547712,left_hip,0.18704398,-0.02200959,left_knee,0.36065093,0.60519254,left_ankle,0.6535624,1.1708896,0,0,0
Fall__Fall_f_raw_c_2_C_N_352,5,C:\Users\ASUS\Downloads\3D_Human_Pose_NCKH\paper_baselines\lin2021_yolov8_lstm_gru\data\paper_skeleton_csv\Fall\Fall_Fall_f_raw_c_2_C_N_352.csv,1,Fall,nose,-0.45452186,-0.99017686,neck,-0.26933882,-0.9630455,right_shoulder,-0.52656484,-0.93906707,right_elbow,-0.41947633,-0.62510645,right_wrist,-0.47688892,-0.58620036,left_shoulder,-0.012112752,-0.98702395,left_elbow,0.2365864,-0.59403443,left_wrist,-0.2658649,-0.517991,mid_hip,0.0,0.0,right_hip,-0.18436125,0.021513732,right_knee,0.13395526,0.67276704,right_ankle,0.44267714,1.1562055,left_hip,0.18436117,-0.02151367,left_knee,0.36149502,0.6082637,left_ankle,0.65660447,1.17917,0,0,0
Fall__Fall_f_raw_c_2_C_N_352,6,C:\Users\ASUS\Downloads\3D_Human_Pose_NCKH\paper_baselines\lin2021_yolov8_lstm_gru\data\paper_skeleton_csv\Fall\Fall_Fall_f_raw_c_2_C_N_352.csv,1,Fall,nose,-0.46049258,-0.9958118,neck,-0.26338872,-0.9646898,right_shoulder,-0.51693803,-0.9381064,right_elbow,-0.41176772,-0.6260645,right_wrist,-0.47965604,-0.6404038,left_shoulder,-0.009839382,-0.9912731,left_elbow,0.23210417,-0.5968044,left_wrist,-0.27092087,-0.5209689,mid_hip,0.0,0.0,right_hip,-0.18213329,0.021649064,right_knee,0.136469,0.6654753,right_ankle,0.44570273,1.1419177,left_hip,0.18213336,-0.021649001,left_knee,0.363311,0.60745895,left_ankle,0.6548607,1.1767119,0,0,0
Fall__Fall_f_raw_c_2_C_N_352,7,C:\Users\ASUS\Downloads\3D_Human_Pose_NCKH\paper_baselines\lin2021_yolov8_lstm_gru\data\paper_skeleton_csv\Fall\Fall_Fall_f_raw_c_2_C_N_352.csv,1,Fall,nose,-0.4696578,-0.9973529,neck,-0.26815268,-0.9633764,right_shoulder,-0.52081,-0.93863064,right_elbow,-0.41001898,-0.6293201,right_wrist,-0.47781602,-0.62447196,left_shoulder,-0.015495364,-0.9881221,left_elbow,0.23303533,-0.59913474,left_wrist,-0.26907262,-0.5214472,mid_hip,0.0,0.0,right_hip,-0.18207532,0.02095759,right_knee,0.12824014,0.664988,right_ankle,0.4354761,1.1385795,left_hip,0.18207535,-0.02095759,left_knee,0.36395785,0.60696983,left_ankle,0.6529521,1.1610544,0,0,0
Fall__Fall_f_raw_c_2_C_N_352,8,C:\Users\ASUS\Downloads\3D_Human_Pose_NCKH\paper_baselines\lin2021_yolov8_lstm_gru\data\paper_skeleton_csv\Fall\Fall_Fall_f_raw_c_2_C_N_352.csv,1,Fall,nose,-0.45922112,-0.98887926,neck,-0.27015907,-0.96281564,right_shoulder,-0.5284056,-0.9358027,right_elbow,-0.4183687,-0.60548884,right_wrist,-0.45795655,-0.55056936,left_shoulder,-0.0119125545,-0.9898285,left_elbow,0.24178739,-0.5932732,left_wrist,-0.2543414,-0.50753236,mid_hip,0.0,0.0,right_hip,-0.18857083,0.022958556,right_knee,0.13213356,0.679931,right_ankle,0.44872487,1.1496084,left_hip,0.18857083,-0.022958433,left_knee,0.37693864,0.6146397,left_ankle,0.66666204,1.1751944,0,0,0
Fall__Fall_f_raw_c_2_C_N_352,9,C:\Users\ASUS\Downloads\3D_Human_Pose_NCKH\paper_baselines\lin2021_yolov8_lstm_gru\data\paper_skeleton_csv\Fall\Fall_Fall_f_raw_c_2_C_N_352.csv,1,Fall,nose,-0.47334027,-0.9928371,neck,-0.27835196,-0.9604791,right_shoulder,-0.5292665,-0.9334461,right_elbow,-0.41661572,-0.5974177,right_wrist,-0.45890474,-0.5558147,left_shoulder,-0.027437456,-0.9875122,left_elbow,0.22922699,-0.59072566,left_wrist,-0.2639449,-0.51267177,mid_hip,0.0,0.0,right_hip,-0.18271576,0.022463221,right_knee,0.11945123,0.6605883,right_ankle,0.3996965,1.1306833,left_hip,0.18271576,-0.02246316,left_knee,0.35895494,0.59639925,left_ankle,0.6561497,1.147592,0,0,0
