sequence_id,video_id,source_csv,label,label_name,sequence_index,start_frame,end_frame,start_frame_local,end_frame_local,valid_length,sequence_length,feature_dim,num_original_frames,is_padded,is_all_zero,zero_ratio,split
Fall_Fall_f_raw_b_1_B_D_0002__seq_0000,Fall_Fall_f_raw_b_1_B_D_0002,C:\Users\ASUS\Downloads\3D_Human_Pose_NCKH\paper_baselines\lin2021_yolov8_lstm_gru\data\processed\Fall\Fall_Fall_f_raw_b_1_B_D_0002_processed.csv,1,Fall,0,0,99,0,99,100,100,30,150,0,0,0.0666666666666666,train
Fall_Fall_f_raw_b_1_B_D_0002__seq_0001,Fall_Fall_f_raw_b_1_B_D_0002,C:\Users\ASUS\Downloads\3D_Human_Pose_NCKH\paper_baselines\lin2021_yolov8_lstm_gru\data\processed\Fall\Fall_Fall_f_raw_b_1_B_D_0002_processed.csv,1,Fall,1,30,129,30,129,100,100,30,150,0,0,0.0666666666666666,train
Fall_Fall_f_raw_b_1_B_D_0002__seq_0002,Fall_Fall_f_raw_b_1_B_D_0002,C:\Users\ASUS\Downloads\3D_Human_Pose_NCKH\paper_baselines\lin2021_yolov8_lstm_gru\data\processed\Fall\Fall_Fall_f_raw_b_1_B_D_0002_processed.csv,1,Fall,2,50,149,50,149,100,100,30,150,0,0,0.0666666666666666,train
Fall_Fall_f_raw_b_1_B_D_0003__seq_0000,Fall_Fall_f_raw_b_1_B_D_0003,C:\Users\ASUS\Downloads\3D_Human_Pose_NCKH\paper_baselines\lin2021_yolov8_lstm_gru\data\processed\Fall\Fall_Fall_f_raw_b_1_B_D_0003_processed.csv,1,Fall,0,0,101,0,99,100,100,30,118,0,0,0.0666666666666666,train
Fall_Fall_f_raw_b_1_B_D_0003__seq_0001,Fall_Fall_f_raw_b_1_B_D_0003,C:\Users\ASUS\Downloads\3D_Human_Pose_NCKH\paper_baselines\lin2021_yolov8_lstm_gru\data\processed\Fall\Fall_Fall_f_raw_b_1_B_D_0003_processed.csv,1,Fall,1,18,119,18,117,100,100,30,118,0,0,0.0666666666666666,train
Fall_Fall_f_raw_b_1_B_D_0004__seq_0000,Fall_Fall_f_raw_b_1_B_D_0004,C:\Users\ASUS\Downloads\3D_Human_Pose_NCKH\paper_baselines\lin2021_yolov8_lstm_gru\data\processed\Fall\Fall_Fall_f_raw_b_1_B_D_0004_processed.csv,1,Fall,0,0,101,0,99,100,100,30,118,0,0,0.0666666666666666,train
Fall_Fall_f_raw_b_1_B_D_0004__seq_0001,Fall_Fall_f_raw_b_1_B_D_0004,C:\Users\ASUS\Downloads\3D_Human_Pose_NCKH\paper_baselines\lin2021_yolov8_lstm_gru\data\processed\Fall\Fall_Fall_f_raw_b_1_B_D_0004_processed.csv,1,Fall,1,18,119,18,117,100,100,30,118,0,0,0.0666666666666666,train
Fall_Fall_f_raw_b_1_B_D_0005__seq_0000,Fall_Fall_f_raw_b_1_B_D_0005,C:\Users\ASUS\Downloads\3D_Human_Pose_NCKH\paper_baselines\lin2021_yolov8_lstm_gru\data\processed\Fall\Fall_Fall_f_raw_b_1_B_D_0005_processed.csv,1,Fall,0,0,99,0,99,100,100,30,120,0,0,0.0666666666666666,train
Fall_Fall_f_raw_b_1_B_D_0005__seq_0001,Fall_Fall_f_raw_b_1_B_D_0005,C:\Users\ASUS\Downloads\3D_Human_Pose_NCKH\paper_baselines\lin2021_yolov8_lstm_gru\data\processed\Fall\Fall_Fall_f_raw_b_1_B_D_0005_processed.csv,1,Fall,1,20,119,20,119,100,100,30,120,0,0,0.0666666666666666,train
Fall_Fall_f_raw_b_1_B_D_0006_resized__seq_0000,Fall_Fall_f_raw_b_1_B_D_0006_resized,C:\Users\ASUS\Downloads\3D_Human_Pose_NCKH\paper_baselines\lin2021_yolov8_lstm_gru\data\processed\Fall\Fall_Fall_f_raw_b_1_B_D_0006_resized_processed.csv,1,Fall,0,0,89,0,89,90,100,30,90,1,0,0.0666666666666666,train
Fall_Fall_f_raw_b_1_B_D_0009_resized__seq_0000,Fall_Fall_f_raw_b_1_B_D_0009_resized,C:\Users\ASUS\Downloads\3D_Human_Pose_NCKH\paper_baselines\lin2021_yolov8_lstm_gru\data\processed\Fall\Fall_Fall_f_raw_b_1_B_D_0009_resized_processed.csv,1,Fall,0,0,99,0,99,100,100,30,120,0,0,0.0666666666666666,train
Fall_Fall_f_raw_b_1_B_D_0009_resized__seq_0001,Fall_Fall_f_raw_b_1_B_D_0009_resized,C:\Users\ASUS\Downloads\3D_Human_Pose_NCKH\paper_baselines\lin2021_yolov8_lstm_gru\data\processed\Fall\Fall_Fall_f_raw_b_1_B_D_0009_resized_processed.csv,1,Fall,1,20,119,20,119,100,100,30,120,0,0,0.0666666666666666,train
Fall_Fall_f_raw_b_1_B_D_0010_resized__seq_0000,Fall_Fall_f_raw_b_1_B_D_0010_resized,C:\Users\ASUS\Downloads\3D_Human_Pose_NCKH\paper_baselines\lin2021_yolov8_lstm_gru\data\processed\Fall\Fall_Fall_f_raw_b_1_B_D_0010_resized_processed.csv,1,Fall,0,0,89,0,89,90,100,30,90,1,0,0.0666666666666666,train
Fall_Fall_f_raw_b_1_B_D_0011__seq_0000,Fall_Fall_f_raw_b_1_B_D_0011,C:\Users\ASUS\Downloads\3D_Human_Pose_NCKH\paper_baselines\lin2021_yolov8_lstm_gru\data\processed\Fall\Fall_Fall_f_raw_b_1_B_D_0011_processed.csv,1,Fall,0,0,59,0,59,60,100,30,60,1,0,0.0666666666666666,train
Fall_Fall_f_raw_b_1_B_D_0012__seq_0000,Fall_Fall_f_raw_b_1_B_D_0012,C:\Users\ASUS\Downloads\3D_Human_Pose_NCKH\paper_baselines\lin2021_yolov8_lstm_gru\data\processed\Fall\Fall_Fall_f_raw_b_1_B_D_0012_processed.csv,1,Fall,0,0,59,0,59,60,100,30,60,1,0,0.0666666666666666,train
Fall_Fall_f_raw_b_1_B_D_0013__seq_0000,Fall_Fall_f_raw_b_1_B_D_0013,C:\Users\ASUS\Downloads\3D_Human_Pose_NCKH\paper_baselines\lin2021_yolov8_lstm_gru\data\processed\Fall\Fall_Fall_f_raw_b_1_B_D_0013_processed.csv,1,Fall,0,0,99,0,99,100,100,30,120,0,0,0.0666666666666666,train
Fall_Fall_f_raw_b_1_B_D_0013__seq_0001,Fall_Fall_f_raw_b_1_B_D_0013,C:\Users\ASUS\Downloads\3D_Human_Pose_NCKH\paper_baselines\lin2021_yolov8_lstm_gru\data\processed\Fall\Fall_Fall_f_raw_b_1_B_D_0013_processed.csv,1,Fall,1,20,119,20,119,100,100,30,120,0,0,0.0666666666666666,train
Fall_Fall_f_raw_b_1_B_D_0014__seq_0000,Fall_Fall_f_raw_b_1_B_D_0014,C:\Users\ASUS\Downloads\3D_Human_Pose_NCKH\paper_baselines\lin2021_yolov8_lstm_gru\data\processed\Fall\Fall_Fall_f_raw_b_1_B_D_0014_processed.csv,1,Fall,0,0,99,0,99,100,100,30,360,0,0,0.0666666666666666,train
Fall_Fall_f_raw_b_1_B_D_0014__seq_0001,Fall_Fall_f_raw_b_1_B_D_0014,C:\Users\ASUS\Downloads\3D_Human_Pose_NCKH\paper_baselines\lin2021_yolov8_lstm_gru\data\processed\Fall\Fall_Fall_f_raw_b_1_B_D_0014_processed.csv,1,Fall,1,30,129,30,129,100,100,30,360,0,0,0.0666666666666666,train
Fall_Fall_f_raw_b_1_B_D_0014__seq_0002,Fall_Fall_f_raw_b_1_B_D_0014,C:\Users\ASUS\Downloads\3D_Human_Pose_NCKH\paper_baselines\lin2021_yolov8_lstm_gru\data\processed\Fall\Fall_Fall_f_raw_b_1_B_D_0014_processed.csv,1,Fall,2,60,159,60,159,100,100,30,360,0,0,0.0666666666666666,train
Fall_Fall_f_raw_b_1_B_D_0014__seq_0003,Fall_Fall_f_raw_b_1_B_D_0014,C:\Users\ASUS\Downloads\3D_Human_Pose_NCKH\paper_baselines\lin2021_yolov8_lstm_gru\data\processed\Fall\Fall_Fall_f_raw_b_1_B_D_0014_processed.csv,1,Fall,3,90,189,90,189,100,100,30,360,0,0,0.0666666666666666,train
