model_type,epoch,train_loss,train_accuracy,train_macro_f1,train_fall_recall,train_fall_f1,val_loss,val_accuracy,val_macro_f1,val_fall_recall,val_fall_f1,val_tn,val_fp,val_fn,val_tp
rnn,1,0.4409688104042965,0.822787610619469,0.8100611179602865,0.8071564281190627,0.7608955223880597,0.42577853263403603,0.8347022587268994,0.8268037092505953,0.9002976190476191,0.7898172323759791,1021,255,67,605
rnn,2,0.38849599741201485,0.834070796460177,0.8261292724243487,0.8879037365421153,0.7889701744513224,0.37951114803583225,0.8444558521560575,0.8369105614229667,0.9122023809523809,0.8018312622629169,1032,244,59,613
rnn,3,0.3658759581831704,0.8420353982300885,0.83537745307504,0.9173527549081697,0.8022708391027417,0.42289571938328674,0.8413757700205339,0.8336038267703083,0.90625,0.7976424361493124,1030,246,63,609
rnn,4,0.35753707832994713,0.845353982300885,0.8380961980626662,0.9069031032298923,0.8038170081392085,0.3624736388697761,0.8475359342915811,0.8417332430602573,0.9508928571428571,0.8114285714285714,1012,264,33,639
rnn,5,0.34036022561841306,0.8484513274336283,0.8421658664340497,0.928752374920836,0.810668877833057,0.34775133846323836,0.8516427104722792,0.846366496078603,0.9657738095238095,0.8178954001260239,1010,266,23,649
rnn,6,0.339958662744117,0.848783185840708,0.84259086202663,0.9309689677010766,0.8113702221608942,0.35706471780303567,0.8465092402464066,0.8392117663069958,0.9181547619047619,0.8049575994781474,1032,244,55,617
rnn,7,0.32794451138614555,0.8547566371681415,0.8485007045129764,0.9325522482583913,0.8177148410384562,0.3674691479951449,0.8506160164271047,0.8444116361085288,0.9434523809523809,0.8133418858242463,1023,253,38,634
rnn,8,0.3256008385820726,0.8544247787610619,0.8481616706341273,0.9322355921469284,0.8173237090505275,0.3367724053913563,0.8506160164271047,0.8442779420672453,0.9404761904761905,0.8128617363344052,1025,251,40,632
rnn,9,0.3183951480462488,0.8544247787610619,0.8481474293748662,0.9319189360354655,0.8172729797278534,0.35822074260616205,0.8501026694045175,0.8439765335018603,0.9449404761904762,0.8130601792573624,1021,255,37,635
rnn,10,0.3154043386995265,0.8573008849557522,0.8510915382513782,0.934768841038632,0.8206839032527106,0.3731219259069686,0.8347022587268994,0.8299394755706224,0.9672619047619048,0.8014796547472256,976,300,22,650
rnn,11,0.3160649015312701,0.8591814159292035,0.8529074455335479,0.9341355288157062,0.82252892792416,0.31656624071177636,0.8562628336755647,0.8484611067584613,0.9122023809523809,0.8140770252324038,1055,221,59,613
rnn,12,0.3043798496765373,0.8629424778761062,0.8565872905483676,0.9338188727042432,0.8263976460697772,0.33193992693321417,0.8424024640657084,0.8346808246552901,0.9077380952380952,0.7989521938441388,1031,245,62,610
rnn,13,0.3007681247934831,0.8633849557522124,0.856768150698934,0.9281190626979101,0.8259828096378752,0.32386624930116675,0.8547227926078029,0.8481595315917491,0.9375,0.8165910563836681,1035,241,42,630
rnn,14,0.2951982755576615,0.8661504424778761,0.8597025083679045,0.9328689043698544,0.8296254576175726,0.3560124868966899,0.8516427104722792,0.8453481967609412,0.9419642857142857,0.8141479099678457,1026,250,39,633
rnn,15,0.3001275597420414,0.8695796460176991,0.8628886191556492,0.928435718809373,0.8325997444270907,0.3603810741656003,0.8552361396303901,0.8487968952134541,0.9404761904761905,0.8175937904269082,1034,242,40,632
rnn,16,0.29432441639689216,0.8701327433628319,0.8636026143774722,0.9322355921469284,0.8337581421693572,0.31170986923609056,0.8572895277207392,0.8504013834330577,0.9315476190476191,0.8183006535947712,1044,232,46,626
rnn,17,0.2829390291091615,0.8724557522123894,0.8658293059740001,0.9306523115896137,0.8360119470914521,0.36785260225345956,0.8521560574948666,0.8457830477463847,0.9404761904761905,0.8144329896907216,1028,248,40,632
rnn,18,0.2900657726072632,0.870353982300885,0.863737644034607,0.9303356554781508,0.8337116912599319,0.32179072833556904,0.8578028747433265,0.8518335460015491,0.9523809523809523,0.8220937700706487,1031,245,32,640
rnn,19,0.30430893141084014,0.8642699115044248,0.857188602295799,0.9183027232425586,0.8253877899530383,0.3934027571384116,0.8408624229979466,0.8323069814145885,0.8913690476190477,0.7944297082228117,1039,237,73,599
rnn,20,0.3491133480472902,0.8486725663716814,0.8416170584403383,0.9126029132362254,0.8081884464385867,0.35706315657747356,0.8557494866529775,0.8475027824248258,0.9032738095238095,0.8120401337792642,1060,216,65,607
rnn,21,0.34390711974253696,0.8507743362831859,0.8431507340794804,0.9021532615579481,0.8085710231304101,0.40414530842027624,0.8311088295687885,0.8237129772688951,0.9077380952380952,0.7876049063912202,1009,267,62,610
rnn,22,0.34669048084621934,0.8539823008849557,0.847084392684327,0.9183027232425586,0.8146067415730337,0.45237951871061227,0.7905544147843943,0.783893369297449,0.8913690476190477,0.7459526774595268,941,335,73,599
rnn,23,0.3377800160277206,0.8506637168141593,0.8440028051884942,0.921785940468651,0.8117679866146124,0.3513054357309973,0.8459958932238193,0.8380301988869426,0.9047619047619048,0.8021108179419525,1040,236,64,608
rnn,24,0.3978012435731635,0.8275442477876106,0.8182430068774558,0.8606713109563014,0.7771265189421015,0.4282755813039304,0.8311088295687885,0.8179891655484319,0.8154761904761905,0.7691228070175439,1071,205,124,548
rnn,25,0.3866417420121421,0.8363938053097345,0.828956915120725,0.8986700443318556,0.7932914046121593,0.7333173724904932,0.5472279260780287,0.5468534389993798,0.8348214285714286,0.5598802395209581,505,771,111,561
rnn,26,0.429007049788416,0.8215707964601769,0.8104785618033676,0.8296390120329322,0.7646286297971692,0.39502214069728736,0.8408624229979466,0.8325508242687616,0.8958333333333334,0.7952443857331571,1036,240,70,602
rnn,27,0.3444051622289472,0.846570796460177,0.8400221679090758,0.922102596580114,0.8076549715712107,0.3509959483660712,0.837782340862423,0.8285516934046346,0.8779761904761905,0.7887700534759359,1042,234,82,590
rnn,28,0.3251951506180046,0.8603982300884956,0.8531529394125871,0.9135528815706143,0.8205346985210467,0.33624685476142036,0.8495893223819302,0.8425818643862582,0.9255952380952381,0.8093689004554326,1033,243,50,622
