epoch,model_name,learning_rate,train_loss,train_accuracy,val_loss,val_accuracy,val_macro_f1,val_fall_recall,val_fall_f1,val_specificity,val_tn,val_fp,val_fn,val_tp
1,cnn,0.0001,0.4546541649772852,0.8061004416144603,0.3524323825083743,0.8521918025003956,0.8485261785705339,0.9205353408615642,0.8249625187406296,0.8105906313645621,3184,744,190,2201
2,cnn,0.0001,0.279093578603217,0.8878504672897196,0.2773192787310366,0.8756132299414464,0.8709030915050049,0.904642409033877,0.846244131455399,0.8579429735234216,3370,558,228,2163
3,cnn,0.0001,0.23060618727998322,0.9033583239190716,0.25385056506953796,0.8863744263332806,0.8824470661733204,0.9297365119196989,0.8609604957397367,0.859979633401222,3378,550,168,2223
4,cnn,0.0001,0.20648074585321174,0.9139365307589606,0.2368524664625924,0.898085140053806,0.8933684314235165,0.9088247595148473,0.8709418837675351,0.8915478615071283,3502,426,218,2173
5,cnn,0.0001,0.1828905547547906,0.9230769230769231,0.2357968216136152,0.9010919449279949,0.8980472230677323,0.9623588456712673,0.8804285440979529,0.8637983706720977,3393,535,90,2301
6,cnn,0.0001,0.16443430803371084,0.9313957070966417,0.2307944992046628,0.9028327266972622,0.8998359421291979,0.9644500209117524,0.8825105243015691,0.8653258655804481,3399,529,85,2306
7,cnn,0.0001,0.15408257229596642,0.9379685734825922,0.20912081022857545,0.9115366355435987,0.9067897816369072,0.9063153492262651,0.8857551604332721,0.914714867617108,3593,335,224,2167
8,cnn,0.0001,0.1402740388178196,0.9440792852007805,0.33890658880425206,0.8675423326475709,0.8657704925438456,0.9945629443747386,0.8503486500983372,0.790224032586558,3104,824,13,2378
9,cnn,0.0001,0.13290712701938562,0.9457225017972681,0.19111724556060422,0.9196075328374743,0.914854340151454,0.9029694688414889,0.8947368421052632,0.929735234215886,3652,276,232,2159
10,cnn,0.0001,0.12342265424290587,0.9506008010680908,0.20050292790962157,0.9203987972780503,0.9168354596941927,0.9427017984107068,0.8996208341648374,0.9068228105906314,3562,366,137,2254
11,cnn,0.0001,0.11778444126883461,0.9516791619595358,0.20173994282044325,0.917866751068207,0.914047573226397,0.9343370974487663,0.8959294164828554,0.9078411405295316,3566,362,157,2234
12,cnn,0.0001,0.11108887265677862,0.9554791003389135,0.1939965494347447,0.9203987972780503,0.9162526471938592,0.9222082810539524,0.8976185629961327,0.9192973523421588,3611,317,186,2205
13,cnn,0.0001,0.10633539024706407,0.9561980075998767,0.1944523555423327,0.922456084823548,0.9178191012178329,0.9050606440819741,0.8982980489829805,0.9330448065173116,3665,263,227,2164
14,cnn,0.0001,0.10254354858356812,0.958406079901407,0.19255649164123534,0.9188162683968982,0.9137182092369631,0.8929318276871602,0.892745139034079,0.9345723014256619,3671,257,256,2135
15,cnn,0.0001,0.09381281415013375,0.9635411317654309,0.18800272067807158,0.9243551194809305,0.9209090861482063,0.945629443747386,0.9044,0.9114052953156823,3580,348,130,2261
16,cnn,0.0001,0.09119822814811165,0.9641573379891137,0.2509849131959802,0.9048900142427599,0.9022732919366541,0.9795064826432455,0.8862819299905392,0.8594704684317719,3376,552,49,2342
17,cnn,0.0001,0.0874621626358876,0.9647735442127966,0.2181996498113959,0.9170754866276309,0.9141887002908791,0.9694688414889168,0.8984496124031007,0.8851832993890021,3477,451,73,2318
18,cnn,0.0001,0.07780703450710459,0.9694464414090582,0.19436605236187818,0.9248298781452762,0.92137826692321,0.945211208699289,0.9049049049049049,0.9124236252545825,3584,344,131,2260
19,cnn,0.0001,0.07775702522840908,0.9705248023005032,0.21746667351722268,0.9197657857255895,0.9167640193972626,0.9644500209117524,0.900957218206681,0.8925661914460286,3506,422,85,2306
20,cnn,0.0001,0.07608030468670815,0.9703194002259423,0.21247573797721098,0.9245133723690457,0.9213670591448699,0.9573400250941029,0.9056379821958457,0.9045315682281059,3553,375,102,2289
