epoch,model_name,learning_rate,train_loss,train_accuracy,val_loss,val_accuracy,val_macro_f1,val_fall_recall,val_fall_f1,val_specificity,val_tn,val_fp,val_fn,val_tp
1,lstm,0.0001,0.5682306358753515,0.7484338091814727,0.4880875463804257,0.7645197024845704,0.7587041475695069,0.8051024675867837,0.7212439115773698,0.7398167006109979,2906,1022,466,1925
2,lstm,0.0001,0.4136327783699286,0.8040977713874911,0.44076961989662355,0.7918974521285014,0.7891137367923023,0.8946047678795483,0.7648846772751654,0.7293788187372708,2865,1063,252,2139
3,lstm,0.0001,0.37188275540231297,0.8255109376604703,0.43081285458864016,0.7975945561006489,0.7964781917797195,0.9560853199498118,0.7814048880533242,0.7011201629327902,2754,1174,105,2286
4,lstm,0.0001,0.3298600733163874,0.8546780322481257,0.33483663955586945,0.8531413198290869,0.8489303170673599,0.9067335842743622,0.8237082066869301,0.8205193482688391,3223,705,223,2168
5,lstm,0.0001,0.2931232046264391,0.8751668891855807,0.3652753541212158,0.8346257319196075,0.8324626961572286,0.9527394395650356,0.8134261738975183,0.7627291242362525,2996,932,113,2278
6,lstm,0.0001,0.28095056802949536,0.8801992400123241,0.2995659888927309,0.864693780661497,0.8609117130762831,0.9247176913425345,0.8379761227970438,0.8281568228105907,3253,675,180,2211
7,lstm,0.0001,0.2648086861545721,0.8858991475813905,0.3027940318950079,0.8601044469061561,0.8568204080636671,0.9364282726892513,0.835136143230138,0.8136456211812627,3196,732,152,2239
8,lstm,0.0001,0.2542542418843975,0.891804457225018,0.27611063147912285,0.8737141952840639,0.8698486778801482,0.9268088665830196,0.8474187380497132,0.8413951120162932,3305,623,175,2216
9,lstm,0.0001,0.23661375676286628,0.8991989319092123,0.28015506103276544,0.8675423326475709,0.8643592779855387,0.9439565035549979,0.8435806391328724,0.8210285132382892,3225,703,134,2257
10,lstm,0.0001,0.22202750284917622,0.9050528910341994,0.26931770559418966,0.8854249090045894,0.8795548705372215,0.8782936010037641,0.8529650690495532,0.8897657841140529,3495,433,291,2100
11,lstm,0.0001,0.2122660452779086,0.9087501283762967,0.3100409573866672,0.868491849976262,0.8659389195799565,0.9652864910079465,0.8474389572241601,0.8095723014256619,3180,748,83,2308
12,lstm,0.0001,0.1970372559265323,0.9148094895758447,0.3409758938603489,0.8452286754233265,0.8435268542121782,0.9790882475951485,0.827208480565371,0.7637474541751528,3000,928,50,2341
13,lstm,0.0001,0.18654677023923874,0.918968881585704,0.25508347611719884,0.8931793005222345,0.8888579677879431,0.9196988707653702,0.8669426374926079,0.8770366598778004,3445,483,192,2199
14,lstm,0.0001,0.17599853507036592,0.9226661189278011,0.24313566312159235,0.8928627947460042,0.8893235095844523,0.9435382685069009,0.8695317016766236,0.8620162932790224,3386,542,135,2256
15,lstm,0.0001,0.16527752584226937,0.9279552223477457,0.2434038182648305,0.9009336920398797,0.8968113707849036,0.9263906315349226,0.8761867088607594,0.8854378818737271,3478,450,176,2215
16,lstm,0.0001,0.1606517702224772,0.9318065112457636,0.24188110185293343,0.8984016458300363,0.893875375600993,0.9142618151401087,0.8719585161547666,0.8887474541751528,3491,437,205,2186
17,lstm,0.0001,0.1487899723519097,0.9370956146657081,0.25102575476863365,0.8957113467320779,0.8922787492798594,0.9477206189878712,0.8730495087651705,0.8640529531568228,3394,534,125,2266
18,lstm,0.0001,0.14583127918421052,0.9376604703707507,0.2500229166345109,0.8946035765152714,0.8910898883522642,0.944792973651192,0.8715277777777778,0.8640529531568228,3394,534,132,2259
19,lstm,0.0001,0.14102032214412336,0.9403820478586834,0.2363285894560875,0.9007754391517645,0.8969597102606024,0.9360100376411543,0.8771310993533216,0.8793279022403259,3454,474,153,2238
20,lstm,0.0001,0.12843484773924307,0.945260347129506,0.24793741123096125,0.901883209368571,0.8984797328462575,0.9498117942283564,0.8798915149166989,0.8727087576374746,3428,500,120,2271
21,lstm,0.0001,0.1269879929895052,0.9460819554277499,0.25713317326000257,0.9031492324734927,0.8988482722514404,0.9209535759096612,0.8779904306220095,0.8923116089613035,3505,423,189,2202
22,lstm,0.0001,0.12162298426036658,0.9491629865461642,0.2515593838544998,0.8993511631587277,0.8955660736845104,0.9368465077373483,0.8756841282251759,0.8765274949083504,3443,485,151,2240
23,lstm,0.0001,0.11763079990881038,0.9498818938071274,0.27469378167705577,0.9007754391517645,0.8972902951183368,0.9468841488916772,0.8783705140640156,0.8727087576374746,3428,500,127,2264
24,lstm,0.0001,0.10873291329968034,0.9514737598849748,0.2360037740791441,0.9116948884317139,0.9071707427621127,0.9130071099958177,0.8866774979691308,0.9108961303462322,3578,350,208,2183
25,lstm,0.0001,0.10808850445914614,0.9542466878915477,0.23218413803989404,0.9132774173128659,0.9088343495226483,0.9150982852363028,0.8887083671811535,0.9121690427698574,3583,345,203,2188
26,lstm,0.0001,0.10306811735188556,0.9576358221218034,0.2850622797051419,0.9010919449279949,0.8972883874208557,0.9364282726892513,0.8775230256711738,0.879582484725051,3455,473,152,2239
27,lstm,0.0001,0.10029932864823723,0.9590222861250899,0.24791109161542838,0.9121696470960595,0.9081748400876326,0.9297365119196989,0.8890221955608878,0.9014765784114053,3541,387,168,2223
28,lstm,0.0001,0.09378354302365009,0.9622060182807847,0.2504545711857185,0.9151764519702484,0.9107780987357879,0.9159347553324969,0.8909682668836453,0.914714867617108,3593,335,201,2190
29,lstm,0.0001,0.09112137548213801,0.9624627708739858,0.27771162786382475,0.9039404969140686,0.9000933289480632,0.9351735675449603,0.8804882850954913,0.884928716904277,3476,452,155,2236
30,lstm,0.0001,0.09438190177864267,0.9617438636130224,0.292959259771288,0.901883209368571,0.8975120449729215,0.9188624006691761,0.8763462305544475,0.8915478615071283,3502,426,194,2197
31,lstm,0.0001,0.08973148578193119,0.963592482284071,0.2726008791339163,0.9071055546763729,0.9037373694408717,0.9514847344207444,0.8857309713840763,0.880091649694501,3457,471,116,2275
32,lstm,0.0001,0.08124778909334977,0.9674951217007292,0.26804697710626013,0.9096376008862161,0.9052350408802776,0.917189460476788,0.8848093605003026,0.905040733197556,3555,373,198,2193
33,lstm,0.0001,0.07844236754190877,0.9672897196261683,0.24919785336149206,0.9166007279632853,0.91187021596225,0.9050606440819741,0.8914521112255407,0.9236252545824847,3628,300,227,2164
34,lstm,0.0001,0.07667575560145166,0.9694464414090582,0.26526825808981536,0.9080550720050641,0.9030039499981994,0.8983688833124216,0.8808693869181874,0.9139511201629328,3590,338,243,2148
35,lstm,0.0001,0.07593868549347316,0.9689329362226559,0.26408008088387297,0.9017249564804558,0.8957733244928818,0.875784190715182,0.8708671241422333,0.9175152749490835,3604,324,297,2094
36,lstm,0.0001,0.06771347035402431,0.9737598849748382,0.31731256524507756,0.9023579680329166,0.8987175511592458,0.9418653283145128,0.8795157195860184,0.8783095723014257,3450,478,139,2252
37,lstm,0.0001,0.06991360723303551,0.9733490808257164,0.25359946374141384,0.9156512106345941,0.9112577752571113,0.9159347553324969,0.8915123142682678,0.9154786150712831,3596,332,201,2190
38,lstm,0.0001,0.06349292143860263,0.9755058026086063,0.29218991654533744,0.9161259692989397,0.9121828132587808,0.9305729820158929,0.893574297188755,0.9073319755600815,3564,364,166,2225
39,lstm,0.0001,0.06404038603832017,0.9757625552018075,0.2912577813977631,0.9156512106345941,0.9119114417881186,0.9376829778335425,0.8937612118796093,0.9022403258655805,3544,384,149,2242
40,lstm,0.0001,0.05848584421605707,0.9772003697237343,0.28102156473493195,0.9180250039563222,0.914278748148474,0.9368465077373483,0.896358543417367,0.9065682281059063,3561,367,151,2240
41,lstm,0.0001,0.06150258937463221,0.9772003697237343,0.258369561623097,0.9207153030542807,0.9162956889788778,0.9130071099958177,0.8970618450791041,0.9254073319755601,3635,293,208,2183
42,lstm,0.0001,0.05488036102393872,0.9788949368388621,0.2734432766905163,0.9161259692989397,0.9125196245543008,0.9422835633626098,0.8947577442414615,0.90020366598778,3536,392,138,2253
43,lstm,0.0001,0.05039425591546137,0.9807435555099107,0.2796620256799638,0.9196075328374743,0.9145521733315956,0.8937682977833542,0.8937682977833542,0.935336048879837,3674,254,254,2137
