model_name,split,level,aggregation,threshold,accuracy,macro_precision,macro_recall,macro_f1,fall_precision,fall_recall,fall_f1,not_fall_precision,not_fall_recall,not_fall_f1,sensitivity_fall_recall,specificity_not_fall_recall,tn,fp,fn,tp,num_sequences,num_videos
cnn,test,sequence,none,,0.9161723384327193,0.9069941969194713,0.9128106410279182,0.9097327779310649,0.8709677419354839,0.9007798960138648,0.8856230031948882,0.9430206519034585,0.9248413860419717,0.9338425526672416,0.9007798960138648,0.9248413860419717,3790,308,229,2079,6406,1043
convlstm,test,sequence,none,,0.9128941617233843,0.9035105278302535,0.9092075180605494,0.906194349157343,0.8667225481978206,0.8960138648180243,0.8811248402215595,0.9402985074626866,0.9224011713030746,0.9312638580931264,0.8960138648180243,0.9224011713030746,3780,318,240,2068,6406,1043
lstm,test,sequence,none,,0.9127380580705589,0.9033656635994363,0.9089908802789204,0.9060177914464174,0.8666666666666667,0.895580589254766,0.8808864265927978,0.9400646605322059,0.9224011713030746,0.9311491563000369,0.895580589254766,0.9224011713030746,3780,318,241,2067,6406,1043
cnn,test,video,majority_vote,,0.9185043144774688,0.9173568183510836,0.9175402910342669,0.917447680238378,0.9275862068965517,0.9259896729776248,0.9267872523686477,0.9071274298056156,0.9090909090909091,0.9081081081081082,0.9259896729776248,0.9090909090909091,420,42,43,538,6406,1043
convlstm,test,video,majority_vote,,0.912751677852349,0.911674158224687,0.9114901163093934,0.9115812674845288,0.9209621993127147,0.9225473321858864,0.9217540842648323,0.9023861171366594,0.9004329004329005,0.9014084507042254,0.9225473321858864,0.9004329004329005,416,46,45,536,6406,1043
lstm,test,video,majority_vote,,0.9108341323106424,0.9095888880613688,0.9097689459135243,0.9096780501431665,0.9206896551724137,0.919104991394148,0.9198966408268734,0.8984881209503239,0.9004329004329005,0.8994594594594595,0.919104991394148,0.9004329004329005,416,46,47,534,6406,1043
cnn,test,video,mean_prob,0.5,0.912751677852349,0.9110822828975695,0.9125984457309758,0.9117703107323363,0.9283216783216783,0.9139414802065404,0.9210754553339116,0.8938428874734607,0.9112554112554112,0.902465166130761,0.9139414802065404,0.9112554112554112,421,41,50,531,6406,1043
lstm,test,video,mean_prob,0.5,0.9117929050814957,0.90999829443913,0.9119595264173578,0.9108547008547009,0.929701230228471,0.9104991394148021,0.92,0.890295358649789,0.9134199134199135,0.9017094017094017,0.9104991394148021,0.9134199134199135,422,40,52,529,6406,1043
convlstm,test,video,mean_prob,0.5,0.9117929050814957,0.910159295978612,0.9115161946487247,0.910782425004277,0.9267015706806283,0.9139414802065404,0.9202772963604853,0.8936170212765957,0.9090909090909091,0.9012875536480687,0.9139414802065404,0.9090909090909091,420,42,50,531,6406,1043
lstm,train,sequence,none,,0.9977919276984698,0.9974707221352426,0.9977874993928145,0.9976287185180945,0.9962437395659433,0.9977706562630626,0.9970066132962061,0.9986977047045418,0.9978043425225664,0.9982508237399829,0.9977706562630626,0.9978043425225664,12270,27,16,7161,19474,3126
convlstm,train,sequence,none,,0.9948135976173359,0.9953174868075253,0.9935437671927536,0.9944185358592245,0.9971894322653176,0.9887139473317542,0.9929336038620303,0.993445541349733,0.9983735870537529,0.9959034678564186,0.9887139473317542,0.9983735870537529,12277,20,81,7096,19474,3126
