family,model_name,method_type,split,level,aggregation,threshold,accuracy,macro_f1,fall_recall,fall_f1,specificity,not_fall_f1,tn,fp,fn,tp,num_sequences,num_samples,num_videos,source_path,notes,is_primary_candidate,macro_f1_rank,accuracy_rank,fall_recall_rank
Phase 4,Quality-Gated,quality_aware_fusion,test,sample,none,,0.9790550414028252,0.9596192511173829,,,,,,,,,,2053,367,C:\Users\ASUS\Downloads\3D_Human_Pose_NCKH\phase4_quality_aware_fusion\outputs\comparison\all_phases_fair_comparison.json,"Phase 4 quality-aware model. Metrics may be sample-level, so compare carefully against video-level paper baselines.",True,1.0,1.0,
Phase 4,Quality-Concat,quality_aware_fusion,test,sample,none,,0.9780808572820263,0.9573095908765012,,,,,,,,,,2053,367,C:\Users\ASUS\Downloads\3D_Human_Pose_NCKH\phase4_quality_aware_fusion\outputs\comparison\all_phases_fair_comparison.json,"Phase 4 quality-aware model. Metrics may be sample-level, so compare carefully against video-level paper baselines.",True,2.0,2.0,
Phase 4,Quality-Concat,quality_aware_fusion,test,sample,none,,0.9615514333895447,0.9546170057132546,0.9276315789473685,0.9368770764119602,0.976619581100828,0.972356935014549,2005.0,48.0,66.0,846.0,,2965,812,C:\Users\ASUS\Downloads\3D_Human_Pose_NCKH\phase4_quality_aware_fusion\outputs\comparison\all_phases_fair_comparison.json,"Phase 4 quality-aware model. Metrics may be sample-level, so compare carefully against video-level paper baselines.",True,3.0,3.0,2.0
Phase 4,Quality-Gated,quality_aware_fusion,test,sample,none,,0.9534569983136594,0.9450284443575057,0.9133771929824561,0.9235033259423503,0.9712615684364345,0.9665535627726611,1994.0,59.0,79.0,833.0,,2965,812,C:\Users\ASUS\Downloads\3D_Human_Pose_NCKH\phase4_quality_aware_fusion\outputs\comparison\all_phases_fair_comparison.json,"Phase 4 quality-aware model. Metrics may be sample-level, so compare carefully against video-level paper baselines.",True,4.0,4.0,7.0
Yadav2021-style,cnn,guided_features_deep_learning,test,video,majority_vote,,0.9185043144774688,0.917447680238378,0.9259896729776248,0.9267872523686476,0.9090909090909092,0.9081081081081082,420.0,42.0,43.0,538.0,6406.0,6406,1043,C:\Users\ASUS\Downloads\3D_Human_Pose_NCKH\paper_baselines\yadav2021_convlstm_guided_features\outputs\metrics\06_evaluate_cnn_lstm_convlstm_metrics_val_tuned.csv,"Yadav2021-style adapted baseline using estimated 3D skeletons, 51 skeleton features plus 14 guided features. Video-level majority voting is threshold-free and is the main Yadav result if it has the best test macro-F1.",True,5.0,5.0,3.0
Yadav2021-style,cnn,guided_features_deep_learning,test,video,mean_prob,0.49,0.912751677852349,0.9117338801549328,0.9156626506024096,0.9212121212121211,0.9090909090909092,0.9022556390977444,420.0,42.0,49.0,532.0,6406.0,6406,1043,C:\Users\ASUS\Downloads\3D_Human_Pose_NCKH\paper_baselines\yadav2021_convlstm_guided_features\outputs\metrics\06_evaluate_cnn_lstm_convlstm_metrics_val_tuned.csv,"Yadav2021-style adapted baseline using estimated 3D skeletons, 51 skeleton features plus 14 guided features. Mean-probability aggregation uses validation-tuned threshold if this CSV is the val_tuned version.",True,6.0,8.0,6.0
Yadav2021-style,convlstm,guided_features_deep_learning,test,video,majority_vote,,0.912751677852349,0.9115812674845288,0.9225473321858864,0.9217540842648324,0.9004329004329005,0.9014084507042254,416.0,46.0,45.0,536.0,6406.0,6406,1043,C:\Users\ASUS\Downloads\3D_Human_Pose_NCKH\paper_baselines\yadav2021_convlstm_guided_features\outputs\metrics\06_evaluate_cnn_lstm_convlstm_metrics_val_tuned.csv,"Yadav2021-style adapted baseline using estimated 3D skeletons, 51 skeleton features plus 14 guided features. Video-level majority voting is threshold-free and is the main Yadav result if it has the best test macro-F1.",True,7.0,8.0,4.0
Yadav2021-style,cnn,guided_features_deep_learning,test,sequence,none,,0.9161723384327192,0.9097327779310648,0.9007798960138648,0.8856230031948882,0.9248413860419716,0.9338425526672416,3790.0,308.0,229.0,2079.0,6406.0,6406,1043,C:\Users\ASUS\Downloads\3D_Human_Pose_NCKH\paper_baselines\yadav2021_convlstm_guided_features\outputs\metrics\06_evaluate_cnn_lstm_convlstm_metrics_val_tuned.csv,"Yadav2021-style adapted baseline using estimated 3D skeletons, 51 skeleton features plus 14 guided features.",False,8.0,6.0,9.0
Yadav2021-style,lstm,guided_features_deep_learning,test,video,majority_vote,,0.9108341323106424,0.9096780501431664,0.919104991394148,0.9198966408268734,0.9004329004329005,0.8994594594594595,416.0,46.0,47.0,534.0,6406.0,6406,1043,C:\Users\ASUS\Downloads\3D_Human_Pose_NCKH\paper_baselines\yadav2021_convlstm_guided_features\outputs\metrics\06_evaluate_cnn_lstm_convlstm_metrics_val_tuned.csv,"Yadav2021-style adapted baseline using estimated 3D skeletons, 51 skeleton features plus 14 guided features. Video-level majority voting is threshold-free and is the main Yadav result if it has the best test macro-F1.",True,9.0,11.0,5.0
Yadav2021-style,convlstm,guided_features_deep_learning,test,video,mean_prob,0.57,0.909875359539789,0.908952623641375,0.9070567986230637,0.9181184668989548,0.9134199134199136,0.8997867803837953,422.0,40.0,54.0,527.0,6406.0,6406,1043,C:\Users\ASUS\Downloads\3D_Human_Pose_NCKH\paper_baselines\yadav2021_convlstm_guided_features\outputs\metrics\06_evaluate_cnn_lstm_convlstm_metrics_val_tuned.csv,"Yadav2021-style adapted baseline using estimated 3D skeletons, 51 skeleton features plus 14 guided features. Mean-probability aggregation uses validation-tuned threshold if this CSV is the val_tuned version.",True,10.0,12.0,8.0
Yadav2021-style,lstm,guided_features_deep_learning,test,video,mean_prob,0.33,0.9089165867689356,0.9074339631454796,0.9294320137693632,0.9191489361702128,0.8831168831168831,0.8957189901207464,408.0,54.0,41.0,540.0,6406.0,6406,1043,C:\Users\ASUS\Downloads\3D_Human_Pose_NCKH\paper_baselines\yadav2021_convlstm_guided_features\outputs\metrics\06_evaluate_cnn_lstm_convlstm_metrics_val_tuned.csv,"Yadav2021-style adapted baseline using estimated 3D skeletons, 51 skeleton features plus 14 guided features. Mean-probability aggregation uses validation-tuned threshold if this CSV is the val_tuned version.",True,11.0,13.0,1.0
Yadav2021-style,convlstm,guided_features_deep_learning,test,sequence,none,,0.9128941617233844,0.906194349157343,0.8960138648180243,0.8811248402215595,0.9224011713030746,0.9312638580931264,3780.0,318.0,240.0,2068.0,6406.0,6406,1043,C:\Users\ASUS\Downloads\3D_Human_Pose_NCKH\paper_baselines\yadav2021_convlstm_guided_features\outputs\metrics\06_evaluate_cnn_lstm_convlstm_metrics_val_tuned.csv,"Yadav2021-style adapted baseline using estimated 3D skeletons, 51 skeleton features plus 14 guided features.",False,12.0,7.0,10.0
Yadav2021-style,lstm,guided_features_deep_learning,test,sequence,none,,0.9127380580705589,0.9060177914464174,0.895580589254766,0.8808864265927978,0.9224011713030746,0.9311491563000368,3780.0,318.0,241.0,2067.0,6406.0,6406,1043,C:\Users\ASUS\Downloads\3D_Human_Pose_NCKH\paper_baselines\yadav2021_convlstm_guided_features\outputs\metrics\06_evaluate_cnn_lstm_convlstm_metrics_val_tuned.csv,"Yadav2021-style adapted baseline using estimated 3D skeletons, 51 skeleton features plus 14 guided features.",False,13.0,10.0,11.0
Chen2020-style,YOLOv8 three-threshold rule,rule_based_geometric_threshold,test,video,threshold_rule,,0.8153098420413123,0.8152113541555879,0.7666666666666667,0.8194774346793349,0.8739946380697051,0.8109452736318408,326.0,47.0,105.0,345.0,,823,823,C:\Users\ASUS\Downloads\3D_Human_Pose_NCKH\paper_baselines\chen2020_yolov8_three_thresholds\outputs\metrics\07_threshold_method_metrics.csv,"Chen2020-style adapted baseline: YOLOv8-Pose replaces OpenPose; fall is detected by hip-descent velocity, body angle, and width/height ratio.",True,14.0,14.0,12.0
