video_path,output_csv_path,status,total_frames_read,detected_frames,error
C:\Users\ASUS\Downloads\3D_Human_Pose_NCKH\data\1_raw_videos\Fall\f_raw_b_1\B_D_0001.mp4,C:\Users\ASUS\Downloads\3D_Human_Pose_NCKH\data\5_extracted_2d_confidence\Fall_f_raw_b_1_B_D_0001.csv,processed,90,89,
C:\Users\ASUS\Downloads\3D_Human_Pose_NCKH\data\1_raw_videos\Fall\f_raw_b_1\B_D_0002.mp4,C:\Users\ASUS\Downloads\3D_Human_Pose_NCKH\data\5_extracted_2d_confidence\Fall_f_raw_b_1_B_D_0002.csv,processed,150,150,
C:\Users\ASUS\Downloads\3D_Human_Pose_NCKH\data\1_raw_videos\Fall\f_raw_b_1\B_D_0003.mp4,C:\Users\ASUS\Downloads\3D_Human_Pose_NCKH\data\5_extracted_2d_confidence\Fall_f_raw_b_1_B_D_0003.csv,processed,120,118,
C:\Users\ASUS\Downloads\3D_Human_Pose_NCKH\data\1_raw_videos\Fall\f_raw_b_1\B_D_0004.mp4,C:\Users\ASUS\Downloads\3D_Human_Pose_NCKH\data\5_extracted_2d_confidence\Fall_f_raw_b_1_B_D_0004.csv,processed,120,118,
C:\Users\ASUS\Downloads\3D_Human_Pose_NCKH\data\1_raw_videos\Fall\f_raw_b_1\B_D_0005.mp4,C:\Users\ASUS\Downloads\3D_Human_Pose_NCKH\data\5_extracted_2d_confidence\Fall_f_raw_b_1_B_D_0005.csv,processed,120,120,
C:\Users\ASUS\Downloads\3D_Human_Pose_NCKH\data\1_raw_videos\Fall\f_raw_b_1\B_D_0006_resized.mp4,C:\Users\ASUS\Downloads\3D_Human_Pose_NCKH\data\5_extracted_2d_confidence\Fall_f_raw_b_1_B_D_0006_resized.csv,processed,90,90,
C:\Users\ASUS\Downloads\3D_Human_Pose_NCKH\data\1_raw_videos\Fall\f_raw_b_1\B_D_0007_resized.mp4,C:\Users\ASUS\Downloads\3D_Human_Pose_NCKH\data\5_extracted_2d_confidence\Fall_f_raw_b_1_B_D_0007_resized.csv,processed,90,90,
C:\Users\ASUS\Downloads\3D_Human_Pose_NCKH\data\1_raw_videos\Fall\f_raw_b_1\B_D_0008_resized.mp4,C:\Users\ASUS\Downloads\3D_Human_Pose_NCKH\data\5_extracted_2d_confidence\Fall_f_raw_b_1_B_D_0008_resized.csv,processed,90,90,
C:\Users\ASUS\Downloads\3D_Human_Pose_NCKH\data\1_raw_videos\Fall\f_raw_b_1\B_D_0009_resized.mp4,C:\Users\ASUS\Downloads\3D_Human_Pose_NCKH\data\5_extracted_2d_confidence\Fall_f_raw_b_1_B_D_0009_resized.csv,processed,120,120,
C:\Users\ASUS\Downloads\3D_Human_Pose_NCKH\data\1_raw_videos\Fall\f_raw_b_1\B_D_0010_resized.mp4,C:\Users\ASUS\Downloads\3D_Human_Pose_NCKH\data\5_extracted_2d_confidence\Fall_f_raw_b_1_B_D_0010_resized.csv,processed,90,90,
C:\Users\ASUS\Downloads\3D_Human_Pose_NCKH\data\1_raw_videos\Fall\f_raw_b_1\B_D_0011.mp4,C:\Users\ASUS\Downloads\3D_Human_Pose_NCKH\data\5_extracted_2d_confidence\Fall_f_raw_b_1_B_D_0011.csv,processed,60,60,
C:\Users\ASUS\Downloads\3D_Human_Pose_NCKH\data\1_raw_videos\Fall\f_raw_b_1\B_D_0012.mp4,C:\Users\ASUS\Downloads\3D_Human_Pose_NCKH\data\5_extracted_2d_confidence\Fall_f_raw_b_1_B_D_0012.csv,processed,60,60,
C:\Users\ASUS\Downloads\3D_Human_Pose_NCKH\data\1_raw_videos\Fall\f_raw_b_1\B_D_0013.mp4,C:\Users\ASUS\Downloads\3D_Human_Pose_NCKH\data\5_extracted_2d_confidence\Fall_f_raw_b_1_B_D_0013.csv,processed,120,120,
C:\Users\ASUS\Downloads\3D_Human_Pose_NCKH\data\1_raw_videos\Fall\f_raw_b_1\B_D_0014.mp4,C:\Users\ASUS\Downloads\3D_Human_Pose_NCKH\data\5_extracted_2d_confidence\Fall_f_raw_b_1_B_D_0014.csv,processed,360,360,
C:\Users\ASUS\Downloads\3D_Human_Pose_NCKH\data\1_raw_videos\Fall\f_raw_b_1\B_D_0015.mp4,C:\Users\ASUS\Downloads\3D_Human_Pose_NCKH\data\5_extracted_2d_confidence\Fall_f_raw_b_1_B_D_0015.csv,processed,240,240,
C:\Users\ASUS\Downloads\3D_Human_Pose_NCKH\data\1_raw_videos\Fall\f_raw_b_1\B_D_0016.mp4,C:\Users\ASUS\Downloads\3D_Human_Pose_NCKH\data\5_extracted_2d_confidence\Fall_f_raw_b_1_B_D_0016.csv,processed,360,360,
C:\Users\ASUS\Downloads\3D_Human_Pose_NCKH\data\1_raw_videos\Fall\f_raw_b_1\B_D_0017.mp4,C:\Users\ASUS\Downloads\3D_Human_Pose_NCKH\data\5_extracted_2d_confidence\Fall_f_raw_b_1_B_D_0017.csv,processed,360,360,
C:\Users\ASUS\Downloads\3D_Human_Pose_NCKH\data\1_raw_videos\Fall\f_raw_b_1\B_D_0018.mp4,C:\Users\ASUS\Downloads\3D_Human_Pose_NCKH\data\5_extracted_2d_confidence\Fall_f_raw_b_1_B_D_0018.csv,processed,360,360,
C:\Users\ASUS\Downloads\3D_Human_Pose_NCKH\data\1_raw_videos\Fall\f_raw_b_1\B_D_0019.mp4,C:\Users\ASUS\Downloads\3D_Human_Pose_NCKH\data\5_extracted_2d_confidence\Fall_f_raw_b_1_B_D_0019.csv,processed,90,90,
C:\Users\ASUS\Downloads\3D_Human_Pose_NCKH\data\1_raw_videos\Fall\f_raw_b_1\B_D_0020.mp4,C:\Users\ASUS\Downloads\3D_Human_Pose_NCKH\data\5_extracted_2d_confidence\Fall_f_raw_b_1_B_D_0020.csv,processed,90,90,
C:\Users\ASUS\Downloads\3D_Human_Pose_NCKH\data\1_raw_videos\Fall\f_raw_b_1\B_D_0021.mp4,C:\Users\ASUS\Downloads\3D_Human_Pose_NCKH\data\5_extracted_2d_confidence\Fall_f_raw_b_1_B_D_0021.csv,processed,240,240,
C:\Users\ASUS\Downloads\3D_Human_Pose_NCKH\data\1_raw_videos\Fall\f_raw_b_1\B_D_0022.mp4,C:\Users\ASUS\Downloads\3D_Human_Pose_NCKH\data\5_extracted_2d_confidence\Fall_f_raw_b_1_B_D_0022.csv,processed,240,240,
C:\Users\ASUS\Downloads\3D_Human_Pose_NCKH\data\1_raw_videos\Fall\f_raw_b_1\B_D_0023.mp4,C:\Users\ASUS\Downloads\3D_Human_Pose_NCKH\data\5_extracted_2d_confidence\Fall_f_raw_b_1_B_D_0023.csv,processed,360,360,
C:\Users\ASUS\Downloads\3D_Human_Pose_NCKH\data\1_raw_videos\Fall\f_raw_b_1\B_D_0024.mp4,C:\Users\ASUS\Downloads\3D_Human_Pose_NCKH\data\5_extracted_2d_confidence\Fall_f_raw_b_1_B_D_0024.csv,processed,120,120,
