,count,mean,std,min,5%,25%,50%,75%,95%,max
mean_confidence,20122.0,0.7997105979421643,0.1531632175096238,0.04560238867998123,0.4487362653017044,0.7576511651277542,0.8296871781349182,0.9013571888208389,0.9637802451848984,0.9860371947288513
min_confidence,20122.0,0.12386945154970677,0.20518973987870306,2.0223486885129205e-08,0.00012161075574113056,0.010258655995130539,0.029174821451306343,0.10871826112270355,0.6660665839910508,0.9266955852508545
std_confidence,20122.0,0.24456065466575455,0.09462187263192982,0.021757422015070915,0.06456107981503009,0.1819164901971817,0.26048970222473145,0.3143659234046936,0.3831306919455528,0.4573715925216675
missing_joint_ratio,20122.0,0.12317800009865003,0.14520543206472597,0.0,0.0,0.029411764815449715,0.08627451211214066,0.15784314274787903,0.4382352828979492,0.9666666388511658
low_conf_01_ratio,20122.0,0.07369564934469827,0.1214909546568435,0.0,0.0,0.0,0.04019607976078987,0.08039215952157974,0.31857842803001474,0.8735294342041016
low_conf_02_ratio,20122.0,0.1002877598344092,0.13433303511173794,0.0,0.0,0.01274509821087122,0.06078431382775307,0.11764705926179886,0.3847794115543369,0.9058823585510254
low_conf_03_ratio,20122.0,0.12317800009865003,0.14520543206472597,0.0,0.0,0.029411764815449715,0.08627451211214066,0.15784314274787903,0.4382352828979492,0.9666666388511658
low_conf_05_ratio,20122.0,0.16884467055593524,0.1639907739468137,0.0,0.0,0.05882352963089943,0.12647059559822083,0.22549019753932953,0.535245096683503,1.0
mean_bbox_conf,20122.0,0.9033253639107042,0.05802372908149892,0.2736712694168091,0.8000863373279572,0.9009083807468414,0.9173614084720612,0.9308199882507324,0.9476523518562316,0.9662103652954102
min_bbox_conf,20122.0,0.8340188701484446,0.14654741941163832,0.2503143846988678,0.4397309854626656,0.8327348530292511,0.8851381540298462,0.9139099717140198,0.9415945440530777,0.9625967144966125
multi_person_ratio,20122.0,0.249083540039025,0.3955717686468387,0.0,0.0,0.0,0.0,0.4000000059604645,1.0,1.0
bbox_aspect_mean,20122.0,0.9166174626068405,0.866655992912866,0.17287690937519073,0.323329696059227,0.3963963985443115,0.5423256754875183,1.037589430809021,2.815374267101288,6.323901176452637
bbox_aspect_change,20122.0,0.14346299820246763,0.23986078725238746,0.0,0.0024659659480676054,0.02079564379528165,0.05478135123848915,0.12625229731202126,0.6867988586425786,3.1829683780670166
bbox_area_mean,20122.0,312503.7281102365,287628.2895631819,14463.8076171875,89894.40234375,159952.61328125,225468.03125,364424.578125,804011.4812500001,4464790.0
bbox_area_change,20122.0,48532.01426129658,83678.14678900201,0.0,763.2499237060547,9166.507080078125,25706.5986328125,54977.1923828125,169385.78359375,2159753.5
bbox_center_velocity_mean,20122.0,0.01527581122054501,0.04022435223849272,0.0,0.0004855641251197085,0.002978828619234264,0.00694191362708807,0.01336505706422031,0.053710412979126126,1.4088544845581055
bbox_center_velocity_std,20122.0,0.027245855457065263,0.08332600724869568,0.0,0.0004039895473397337,0.002254001854453236,0.0061633409932255745,0.010026400443166494,0.16012435480952267,1.7616053819656372
temporal_jitter,20122.0,0.02142326808739325,0.030447278025652908,0.0,0.0019182068237569184,0.006120206671766937,0.012454469688236713,0.021225258708000183,0.08065214790403848,0.36988741159439087
velocity_mean,20122.0,0.014249353865547227,0.0168878460393421,0.0,0.0012282041716389358,0.004752827575430274,0.009869531728327274,0.016004778444767,0.04713953714817763,0.18531815707683563
velocity_std,20122.0,0.020834699946731056,0.029390420333390826,0.0,0.0013956295733805746,0.004827486118301749,0.010327204130589962,0.021244057454168797,0.0872028198093176,0.23746417462825775
bone_length_mean,20122.0,0.17978874543690443,0.01915552015226378,0.09565578401088715,0.15732132717967034,0.16785253584384918,0.17567630112171173,0.187511645257473,0.21698413193225863,0.32486051321029663
bone_length_std,20122.0,0.07419695202033494,0.01941682487031507,0.03165828064084053,0.0490817891433835,0.060584746301174164,0.07264502719044685,0.08276272565126419,0.10925040990114213,0.21474595367908478
bone_length_cv,20122.0,0.41455441302819224,0.1022506124061298,0.1720331341245332,0.2686021487314499,0.3353829142526937,0.4080368578268281,0.48314851271353043,0.5789093819932114,1.0849860155996927
3d_velocity_mean,20122.0,0.06328581800096436,0.05031399889230031,0.0,0.00338039769558236,0.02536390395835042,0.057978615164756775,0.08565673418343067,0.1568083614110947,0.5448256731033325
3d_velocity_std,20122.0,0.06321720549234754,0.05442385279679986,0.0,0.0026990680140443145,0.021310912910848856,0.05570531263947487,0.08590774051845074,0.16842471584677696,0.523801863193512
3d_bone_length_mean,20122.0,2.255787927597752,0.10933023707383115,1.7213612794876099,2.068851041793823,2.1871808767318726,2.2549355030059814,2.3295523524284363,2.4313732504844667,2.6874821186065674
3d_bone_length_std,20122.0,0.971864985081965,0.1511875750178009,0.5345776081085205,0.714492267370224,0.8680499494075775,0.9815536141395569,1.0786995887756348,1.2033268928527832,1.6510133743286133
3d_bone_length_cv,20122.0,0.4312859682230188,0.06786985605675738,0.2314865698589001,0.32058832827042977,0.3855653406813261,0.435167368730887,0.4719454396968861,0.5385659094887659,0.8074669765383897
