task,phase,model_id,model_name,pipeline,feature_mode,kind,scenario,description,noise_2d_std,noise_3d_std,missing_joint_rate,frame_drop_rate,accuracy,macro_f1,accuracy_percent,macro_f1_percent,delta_accuracy_from_clean,delta_macro_f1_from_clean,delta_accuracy_percent_from_clean,delta_macro_f1_percent_from_clean,reference_clean_accuracy,reference_clean_macro_f1,reference_clean_accuracy_percent,reference_clean_macro_f1_percent,clean_accuracy_gap_vs_reference,clean_macro_f1_gap_vs_reference,clean_accuracy_gap_percent_vs_reference,clean_macro_f1_gap_percent_vs_reference,num_samples,num_unique_videos,dataset_num_test_samples,dataset_num_test_records,mean_gate,std_gate,min_gate,max_gate
action,Phase 1,phase1_2d_common,Phase 1 - 2D Common,phase3,2d,single,clean,No perturbation.,0.0,0.0,0.0,0.0,0.9698002922552362,0.9436398028930442,96.98002922552362,94.36398028930442,0.0,0.0,0.0,0.0,0.9698,0.9436,96.98,94.36,2.9225523623388483e-07,3.980289304417184e-05,2.9225523623388483e-05,0.003980289304417184,2053,367,2053,812.0,,,,
action,Phase 1,phase1_2d_common,Phase 1 - 2D Common,phase3,2d,single,gaussian_2d_0.01,Small Gaussian noise on 2D coordinates.,0.01,0.0,0.0,0.0,0.9698002922552362,0.9436398028930442,96.98002922552362,94.36398028930442,0.0,0.0,0.0,0.0,0.9698,0.9436,96.98,94.36,,,,,2053,367,2053,812.0,,,,
action,Phase 1,phase1_2d_common,Phase 1 - 2D Common,phase3,2d,single,gaussian_2d_0.03,Medium Gaussian noise on 2D coordinates.,0.03,0.0,0.0,0.0,0.9698002922552362,0.9436398028930442,96.98002922552362,94.36398028930442,0.0,0.0,0.0,0.0,0.9698,0.9436,96.98,94.36,,,,,2053,367,2053,812.0,,,,
action,Phase 1,phase1_2d_common,Phase 1 - 2D Common,phase3,2d,single,gaussian_2d_0.05,Strong Gaussian noise on 2D coordinates.,0.05,0.0,0.0,0.0,0.9698002922552362,0.943464368274977,96.98002922552362,94.3464368274977,0.0,-0.00017543461806712735,0.0,-0.017543461806712735,0.9698,0.9436,96.98,94.36,,,,,2053,367,2053,812.0,,,,
action,Phase 1,phase1_2d_common,Phase 1 - 2D Common,phase3,2d,single,gaussian_3d_0.01,Small Gaussian noise on 3D coordinates.,0.0,0.01,0.0,0.0,0.9698002922552362,0.9436398028930442,96.98002922552362,94.36398028930442,0.0,0.0,0.0,0.0,0.9698,0.9436,96.98,94.36,,,,,2053,367,2053,812.0,,,,
action,Phase 1,phase1_2d_common,Phase 1 - 2D Common,phase3,2d,single,gaussian_3d_0.03,Medium Gaussian noise on 3D coordinates.,0.0,0.03,0.0,0.0,0.9698002922552362,0.9436398028930442,96.98002922552362,94.36398028930442,0.0,0.0,0.0,0.0,0.9698,0.9436,96.98,94.36,,,,,2053,367,2053,812.0,,,,
action,Phase 1,phase1_2d_common,Phase 1 - 2D Common,phase3,2d,single,gaussian_3d_0.05,Strong Gaussian noise on 3D coordinates.,0.0,0.05,0.0,0.0,0.9698002922552362,0.9436398028930442,96.98002922552362,94.36398028930442,0.0,0.0,0.0,0.0,0.9698,0.9436,96.98,94.36,,,,,2053,367,2053,812.0,,,,
action,Phase 1,phase1_2d_common,Phase 1 - 2D Common,phase3,2d,single,missing_joint_0.10,Randomly remove 10 percent of joints.,0.0,0.0,0.1,0.0,0.9537262542620555,0.8997453063069589,95.37262542620554,89.9745306306959,-0.016074037993180745,-0.04389449658608524,-1.6074037993180745,-4.389449658608524,0.9698,0.9436,96.98,94.36,,,,,2053,367,2053,812.0,,,,
action,Phase 1,phase1_2d_common,Phase 1 - 2D Common,phase3,2d,single,missing_joint_0.20,Randomly remove 20 percent of joints.,0.0,0.0,0.2,0.0,0.9196298100340965,0.8066239110330545,91.96298100340965,80.66239110330545,-0.050170482221139734,-0.13701589185998964,-5.017048222113973,-13.701589185998964,0.9698,0.9436,96.98,94.36,,,,,2053,367,2053,812.0,,,,
action,Phase 1,phase1_2d_common,Phase 1 - 2D Common,phase3,2d,single,missing_joint_0.30,Randomly remove 30 percent of joints.,0.0,0.0,0.3,0.0,0.8670238675109596,0.7015568967775735,86.70238675109596,70.15568967775735,-0.10277642474427662,-0.24208290611547068,-10.277642474427662,-24.208290611547067,0.9698,0.9436,96.98,94.36,,,,,2053,367,2053,812.0,,,,
action,Phase 1,phase1_2d_common,Phase 1 - 2D Common,phase3,2d,single,frame_drop_0.10,Drop 10 percent of frames by repeating previous frame.,0.0,0.0,0.0,0.1,0.971748660496834,0.9472582148116988,97.1748660496834,94.72582148116987,0.00194836824159772,0.0036184119186546404,0.194836824159772,0.36184119186546404,0.9698,0.9436,96.98,94.36,,,,,2053,367,2053,812.0,,,,
action,Phase 1,phase1_2d_common,Phase 1 - 2D Common,phase3,2d,single,frame_drop_0.20,Drop 20 percent of frames by repeating previous frame.,0.0,0.0,0.0,0.2,0.9702873843156357,0.9439179732094247,97.02873843156357,94.39179732094247,0.00048709206039943,0.0002781703163805549,0.048709206039943,0.02781703163805549,0.9698,0.9436,96.98,94.36,,,,,2053,367,2053,812.0,,,,
action,Phase 1,phase1_2d_common,Phase 1 - 2D Common,phase3,2d,single,frame_drop_0.30,Drop 30 percent of frames by repeating previous frame.,0.0,0.0,0.0,0.3,0.9698002922552362,0.9442649640788344,96.98002922552362,94.42649640788345,0.0,0.0006251611857902573,0.0,0.06251611857902573,0.9698,0.9436,96.98,94.36,,,,,2053,367,2053,812.0,,,,
action,Phase 1,phase1_2d_common,Phase 1 - 2D Common,phase3,2d,single,combined_light,Light combined corruption.,0.02,0.02,0.1,0.1,0.9527520701412567,0.8995465873537911,95.27520701412567,89.95465873537911,-0.017048222113979494,-0.04409321553925305,-1.7048222113979494,-4.409321553925305,0.9698,0.9436,96.98,94.36,,,,,2053,367,2053,812.0,,,,
action,Phase 1,phase1_2d_common,Phase 1 - 2D Common,phase3,2d,single,combined_heavy,Heavy combined corruption.,0.05,0.05,0.2,0.2,0.9137847053093034,0.7862455745824555,91.37847053093034,78.62455745824555,-0.05601558694593278,-0.1573942283105887,-5.601558694593278,-15.739422831058869,0.9698,0.9436,96.98,94.36,,,,,2053,367,2053,812.0,,,,
action,Phase 2,phase2_3d_common,Phase 2 - 3D Common,phase3,3d,single,clean,No perturbation.,0.0,0.0,0.0,0.0,0.9678519240136386,0.9470150507868482,96.78519240136386,94.70150507868482,0.0,0.0,0.0,0.0,0.9679,0.947,96.78999999999999,94.69999999999999,-4.807598636136223e-05,1.505078684826966e-05,-0.004807598636136223,0.001505078684826966,2053,367,2053,812.0,,,,
action,Phase 2,phase2_3d_common,Phase 2 - 3D Common,phase3,3d,single,gaussian_2d_0.01,Small Gaussian noise on 2D coordinates.,0.01,0.0,0.0,0.0,0.9678519240136386,0.9470150507868482,96.78519240136386,94.70150507868482,0.0,0.0,0.0,0.0,0.9679,0.947,96.78999999999999,94.69999999999999,,,,,2053,367,2053,812.0,,,,
action,Phase 2,phase2_3d_common,Phase 2 - 3D Common,phase3,3d,single,gaussian_2d_0.03,Medium Gaussian noise on 2D coordinates.,0.03,0.0,0.0,0.0,0.9678519240136386,0.9470150507868482,96.78519240136386,94.70150507868482,0.0,0.0,0.0,0.0,0.9679,0.947,96.78999999999999,94.69999999999999,,,,,2053,367,2053,812.0,,,,
action,Phase 2,phase2_3d_common,Phase 2 - 3D Common,phase3,3d,single,gaussian_2d_0.05,Strong Gaussian noise on 2D coordinates.,0.05,0.0,0.0,0.0,0.9678519240136386,0.9470150507868482,96.78519240136386,94.70150507868482,0.0,0.0,0.0,0.0,0.9679,0.947,96.78999999999999,94.69999999999999,,,,,2053,367,2053,812.0,,,,
action,Phase 2,phase2_3d_common,Phase 2 - 3D Common,phase3,3d,single,gaussian_3d_0.01,Small Gaussian noise on 3D coordinates.,0.0,0.01,0.0,0.0,0.9683390160740379,0.9478150496431049,96.83390160740379,94.78150496431049,0.00048709206039931896,0.0007999988562567006,0.048709206039931896,0.07999988562567006,0.9679,0.947,96.78999999999999,94.69999999999999,,,,,2053,367,2053,812.0,,,,
action,Phase 2,phase2_3d_common,Phase 2 - 3D Common,phase3,3d,single,gaussian_3d_0.03,Medium Gaussian noise on 3D coordinates.,0.0,0.03,0.0,0.0,0.9693132001948368,0.9497357602596062,96.93132001948368,94.97357602596061,0.001461276181198179,0.0027207094727579317,0.1461276181198179,0.2720709472757932,0.9679,0.947,96.78999999999999,94.69999999999999,,,,,2053,367,2053,812.0,,,,
action,Phase 2,phase2_3d_common,Phase 2 - 3D Common,phase3,3d,single,gaussian_3d_0.05,Strong Gaussian noise on 3D coordinates.,0.0,0.05,0.0,0.0,0.9702873843156357,0.9505810430640302,97.02873843156357,95.05810430640302,0.002435460301997039,0.0035659922771820174,0.2435460301997039,0.35659922771820174,0.9679,0.947,96.78999999999999,94.69999999999999,,,,,2053,367,2053,812.0,,,,
action,Phase 2,phase2_3d_common,Phase 2 - 3D Common,phase3,3d,single,missing_joint_0.10,Randomly remove 10 percent of joints.,0.0,0.0,0.1,0.0,0.9620068192888456,0.937621577825172,96.20068192888456,93.76215778251719,-0.005845104724793049,-0.009393472961676252,-0.5845104724793049,-0.9393472961676252,0.9679,0.947,96.78999999999999,94.69999999999999,,,,,2053,367,2053,812.0,,,,
action,Phase 2,phase2_3d_common,Phase 2 - 3D Common,phase3,3d,single,missing_joint_0.20,Randomly remove 20 percent of joints.,0.0,0.0,0.2,0.0,0.8080857282026302,0.7495190586026904,80.80857282026302,74.95190586026904,-0.15976619581100837,-0.1974959921841578,-15.976619581100838,-19.74959921841578,0.9679,0.947,96.78999999999999,94.69999999999999,,,,,2053,367,2053,812.0,,,,
action,Phase 2,phase2_3d_common,Phase 2 - 3D Common,phase3,3d,single,missing_joint_0.30,Randomly remove 30 percent of joints.,0.0,0.0,0.3,0.0,0.4111056989771067,0.3762596212654614,41.11056989771067,37.62596212654614,-0.5567462250365319,-0.5707554295213868,-55.67462250365319,-57.07554295213868,0.9679,0.947,96.78999999999999,94.69999999999999,,,,,2053,367,2053,812.0,,,,
