task,phase,model_id,model_name,pipeline,feature_mode,kind,scenario,description,noise_2d_std,noise_3d_std,missing_joint_rate,frame_drop_rate,accuracy,macro_f1,accuracy_percent,macro_f1_percent,delta_accuracy_from_clean,delta_macro_f1_from_clean,delta_accuracy_percent_from_clean,delta_macro_f1_percent_from_clean,reference_clean_accuracy,reference_clean_macro_f1,reference_clean_accuracy_percent,reference_clean_macro_f1_percent,clean_accuracy_gap_vs_reference,clean_macro_f1_gap_vs_reference,clean_accuracy_gap_percent_vs_reference,clean_macro_f1_gap_percent_vs_reference,num_samples,num_unique_videos,dataset_num_test_samples,dataset_num_test_records,mean_gate,std_gate,min_gate,max_gate
binary,Phase 1,phase1_2d_common,Phase 1 - 2D Common,phase3,2d,single,clean,No perturbation.,0.0,0.0,0.0,0.0,0.9345699831365936,0.9234285011416303,93.45699831365935,92.34285011416303,0.0,0.0,0.0,0.0,0.9346,0.9234,93.46,92.34,-3.001686340642351e-05,2.8501141630332683e-05,-0.003001686340642351,0.0028501141630332683,2965,812,2965,812.0,,,,
binary,Phase 1,phase1_2d_common,Phase 1 - 2D Common,phase3,2d,single,gaussian_2d_0.01,Small Gaussian noise on 2D coordinates.,0.01,0.0,0.0,0.0,0.9342327150084317,0.9230569612041002,93.42327150084317,92.30569612041002,-0.00033726812816181617,-0.0003715399375301409,-0.03372681281618162,-0.03715399375301409,0.9346,0.9234,93.46,92.34,,,,,2965,812,2965,812.0,,,,
binary,Phase 1,phase1_2d_common,Phase 1 - 2D Common,phase3,2d,single,gaussian_2d_0.03,Medium Gaussian noise on 2D coordinates.,0.03,0.0,0.0,0.0,0.9335581787521079,0.9223144896932918,93.35581787521079,92.23144896932918,-0.0010118043844856706,-0.0011140114483385588,-0.10118043844856706,-0.11140114483385588,0.9346,0.9234,93.46,92.34,,,,,2965,812,2965,812.0,,,,
binary,Phase 1,phase1_2d_common,Phase 1 - 2D Common,phase3,2d,single,gaussian_2d_0.05,Strong Gaussian noise on 2D coordinates.,0.05,0.0,0.0,0.0,0.9328836424957841,0.9215258043094674,93.28836424957842,92.15258043094674,-0.001686340640809414,-0.0019026968321629312,-0.1686340640809414,-0.19026968321629312,0.9346,0.9234,93.46,92.34,,,,,2965,812,2965,812.0,,,,
binary,Phase 1,phase1_2d_common,Phase 1 - 2D Common,phase3,2d,single,gaussian_3d_0.01,Small Gaussian noise on 3D coordinates.,0.0,0.01,0.0,0.0,0.9345699831365936,0.9234285011416303,93.45699831365935,92.34285011416303,0.0,0.0,0.0,0.0,0.9346,0.9234,93.46,92.34,,,,,2965,812,2965,812.0,,,,
binary,Phase 1,phase1_2d_common,Phase 1 - 2D Common,phase3,2d,single,gaussian_3d_0.03,Medium Gaussian noise on 3D coordinates.,0.0,0.03,0.0,0.0,0.9345699831365936,0.9234285011416303,93.45699831365935,92.34285011416303,0.0,0.0,0.0,0.0,0.9346,0.9234,93.46,92.34,,,,,2965,812,2965,812.0,,,,
binary,Phase 1,phase1_2d_common,Phase 1 - 2D Common,phase3,2d,single,gaussian_3d_0.05,Strong Gaussian noise on 3D coordinates.,0.0,0.05,0.0,0.0,0.9345699831365936,0.9234285011416303,93.45699831365935,92.34285011416303,0.0,0.0,0.0,0.0,0.9346,0.9234,93.46,92.34,,,,,2965,812,2965,812.0,,,,
binary,Phase 1,phase1_2d_common,Phase 1 - 2D Common,phase3,2d,single,missing_joint_0.10,Randomly remove 10 percent of joints.,0.0,0.0,0.1,0.0,0.9288364249578415,0.9174783758561447,92.88364249578414,91.74783758561446,-0.005733558178752096,-0.0059501252854856634,-0.5733558178752096,-0.5950125285485663,0.9346,0.9234,93.46,92.34,,,,,2965,812,2965,812.0,,,,
binary,Phase 1,phase1_2d_common,Phase 1 - 2D Common,phase3,2d,single,missing_joint_0.20,Randomly remove 20 percent of joints.,0.0,0.0,0.2,0.0,0.9166947723440135,0.904434478724208,91.66947723440136,90.4434478724208,-0.017875210792580032,-0.018994022417422318,-1.7875210792580032,-1.8994022417422318,0.9346,0.9234,93.46,92.34,,,,,2965,812,2965,812.0,,,,
binary,Phase 1,phase1_2d_common,Phase 1 - 2D Common,phase3,2d,single,missing_joint_0.30,Randomly remove 30 percent of joints.,0.0,0.0,0.3,0.0,0.8964586846543001,0.8832290963912377,89.64586846543001,88.32290963912376,-0.03811129848229344,-0.04019940475039263,-3.8111298482293443,-4.019940475039263,0.9346,0.9234,93.46,92.34,,,,,2965,812,2965,812.0,,,,
binary,Phase 1,phase1_2d_common,Phase 1 - 2D Common,phase3,2d,single,frame_drop_0.10,Drop 10 percent of frames by repeating previous frame.,0.0,0.0,0.0,0.1,0.9338954468802698,0.9224987117347891,93.38954468802699,92.24987117347891,-0.0006745362563237434,-0.000929789406841186,-0.06745362563237434,-0.0929789406841186,0.9346,0.9234,93.46,92.34,,,,,2965,812,2965,812.0,,,,
binary,Phase 1,phase1_2d_common,Phase 1 - 2D Common,phase3,2d,single,frame_drop_0.20,Drop 20 percent of frames by repeating previous frame.,0.0,0.0,0.0,0.2,0.9349072512647555,0.9238461205763657,93.49072512647555,92.38461205763657,0.0003372681281619272,0.00041761943473539453,0.03372681281619272,0.04176194347353945,0.9346,0.9234,93.46,92.34,,,,,2965,812,2965,812.0,,,,
binary,Phase 1,phase1_2d_common,Phase 1 - 2D Common,phase3,2d,single,frame_drop_0.30,Drop 30 percent of frames by repeating previous frame.,0.0,0.0,0.0,0.3,0.9355817875210792,0.9246352799486315,93.55817875210792,92.46352799486314,0.0010118043844856706,0.001206778807001152,0.10118043844856706,0.1206778807001152,0.9346,0.9234,93.46,92.34,,,,,2965,812,2965,812.0,,,,
binary,Phase 1,phase1_2d_common,Phase 1 - 2D Common,phase3,2d,single,combined_light,Light combined corruption.,0.02,0.02,0.1,0.1,0.9281618887015177,0.9163047530344488,92.81618887015178,91.63047530344488,-0.0064080944350758395,-0.007123748107181527,-0.640809443507584,-0.7123748107181527,0.9346,0.9234,93.46,92.34,,,,,2965,812,2965,812.0,,,,
binary,Phase 1,phase1_2d_common,Phase 1 - 2D Common,phase3,2d,single,combined_heavy,Heavy combined corruption.,0.05,0.05,0.2,0.2,0.9156829679595279,0.9034604464588054,91.56829679595279,90.34604464588054,-0.018887015177065702,-0.01996805468282492,-1.8887015177065702,-1.996805468282492,0.9346,0.9234,93.46,92.34,,,,,2965,812,2965,812.0,,,,
binary,Phase 2,phase2_3d_common,Phase 2 - 3D Common,phase3,3d,single,clean,No perturbation.,0.0,0.0,0.0,0.0,0.927150084317032,0.9140111687198507,92.71500843170321,91.40111687198507,0.0,0.0,0.0,0.0,0.9272,0.914,92.72,91.4,-4.991568296797144e-05,1.1168719850629394e-05,-0.004991568296797144,0.0011168719850629394,2965,812,2965,812.0,,,,
binary,Phase 2,phase2_3d_common,Phase 2 - 3D Common,phase3,3d,single,gaussian_2d_0.01,Small Gaussian noise on 2D coordinates.,0.01,0.0,0.0,0.0,0.927150084317032,0.9140111687198507,92.71500843170321,91.40111687198507,0.0,0.0,0.0,0.0,0.9272,0.914,92.72,91.4,,,,,2965,812,2965,812.0,,,,
binary,Phase 2,phase2_3d_common,Phase 2 - 3D Common,phase3,3d,single,gaussian_2d_0.03,Medium Gaussian noise on 2D coordinates.,0.03,0.0,0.0,0.0,0.927150084317032,0.9140111687198507,92.71500843170321,91.40111687198507,0.0,0.0,0.0,0.0,0.9272,0.914,92.72,91.4,,,,,2965,812,2965,812.0,,,,
binary,Phase 2,phase2_3d_common,Phase 2 - 3D Common,phase3,3d,single,gaussian_2d_0.05,Strong Gaussian noise on 2D coordinates.,0.05,0.0,0.0,0.0,0.927150084317032,0.9140111687198507,92.71500843170321,91.40111687198507,0.0,0.0,0.0,0.0,0.9272,0.914,92.72,91.4,,,,,2965,812,2965,812.0,,,,
binary,Phase 2,phase2_3d_common,Phase 2 - 3D Common,phase3,3d,single,gaussian_3d_0.01,Small Gaussian noise on 3D coordinates.,0.0,0.01,0.0,0.0,0.9264755480607083,0.9132149758376271,92.64755480607083,91.3214975837627,-0.0006745362563237434,-0.0007961928822235453,-0.06745362563237434,-0.07961928822235453,0.9272,0.914,92.72,91.4,,,,,2965,812,2965,812.0,,,,
binary,Phase 2,phase2_3d_common,Phase 2 - 3D Common,phase3,3d,single,gaussian_3d_0.03,Medium Gaussian noise on 3D coordinates.,0.0,0.03,0.0,0.0,0.9268128161888701,0.9136935506350262,92.68128161888701,91.36935506350262,-0.0003372681281619272,-0.00031761808482444476,-0.03372681281619272,-0.031761808482444476,0.9272,0.914,92.72,91.4,,,,,2965,812,2965,812.0,,,,
binary,Phase 2,phase2_3d_common,Phase 2 - 3D Common,phase3,3d,single,gaussian_3d_0.05,Strong Gaussian noise on 3D coordinates.,0.0,0.05,0.0,0.0,0.927150084317032,0.9139575650813133,92.71500843170321,91.39575650813133,0.0,-5.360363853734729e-05,0.0,-0.005360363853734729,0.9272,0.914,92.72,91.4,,,,,2965,812,2965,812.0,,,,
binary,Phase 2,phase2_3d_common,Phase 2 - 3D Common,phase3,3d,single,missing_joint_0.10,Randomly remove 10 percent of joints.,0.0,0.0,0.1,0.0,0.921079258010118,0.9068454327798383,92.1079258010118,90.68454327798383,-0.006070826306914023,-0.007165735940012352,-0.6070826306914023,-0.7165735940012352,0.9272,0.914,92.72,91.4,,,,,2965,812,2965,812.0,,,,
binary,Phase 2,phase2_3d_common,Phase 2 - 3D Common,phase3,3d,single,missing_joint_0.20,Randomly remove 20 percent of joints.,0.0,0.0,0.2,0.0,0.9112984822934233,0.8946055623697006,91.12984822934233,89.46055623697006,-0.015851602023608802,-0.019405606350150095,-1.5851602023608802,-1.9405606350150095,0.9272,0.914,92.72,91.4,,,,,2965,812,2965,812.0,,,,
binary,Phase 2,phase2_3d_common,Phase 2 - 3D Common,phase3,3d,single,missing_joint_0.30,Randomly remove 30 percent of joints.,0.0,0.0,0.3,0.0,0.8988195615514334,0.878319637281714,89.88195615514334,87.8319637281714,-0.028330522765598665,-0.03569153143813664,-2.8330522765598665,-3.5691531438136637,0.9272,0.914,92.72,91.4,,,,,2965,812,2965,812.0,,,,
binary,Phase 2,phase2_3d_common,Phase 2 - 3D Common,phase3,3d,single,frame_drop_0.10,Drop 10 percent of frames by repeating previous frame.,0.0,0.0,0.0,0.1,0.9264755480607083,0.9132689153388036,92.64755480607083,91.32689153388036,-0.0006745362563237434,-0.0007422533810470533,-0.06745362563237434,-0.07422533810470533,0.9272,0.914,92.72,91.4,,,,,2965,812,2965,812.0,,,,
binary,Phase 2,phase2_3d_common,Phase 2 - 3D Common,phase3,3d,single,frame_drop_0.20,Drop 20 percent of frames by repeating previous frame.,0.0,0.0,0.0,0.2,0.9264755480607083,0.9132689153388036,92.64755480607083,91.32689153388036,-0.0006745362563237434,-0.0007422533810470533,-0.06745362563237434,-0.07422533810470533,0.9272,0.914,92.72,91.4,,,,,2965,812,2965,812.0,,,,
binary,Phase 2,phase2_3d_common,Phase 2 - 3D Common,phase3,3d,single,frame_drop_0.30,Drop 30 percent of frames by repeating previous frame.,0.0,0.0,0.0,0.3,0.927150084317032,0.9139575650813133,92.71500843170321,91.39575650813133,0.0,-5.360363853734729e-05,0.0,-0.005360363853734729,0.9272,0.914,92.72,91.4,,,,,2965,812,2965,812.0,,,,
binary,Phase 2,phase2_3d_common,Phase 2 - 3D Common,phase3,3d,single,combined_light,Light combined corruption.,0.02,0.02,0.1,0.1,0.9261382799325464,0.9130058314971046,92.61382799325463,91.30058314971046,-0.0010118043844856706,-0.0010053372227460944,-0.10118043844856706,-0.10053372227460944,0.9272,0.914,92.72,91.4,,,,,2965,812,2965,812.0,,,,
binary,Phase 2,phase2_3d_common,Phase 2 - 3D Common,phase3,3d,single,combined_heavy,Heavy combined corruption.,0.05,0.05,0.2,0.2,0.9106239460370995,0.893668187364848,91.06239460370995,89.3668187364848,-0.016526138279932545,-0.020342981355002676,-1.6526138279932545,-2.0342981355002676,0.9272,0.914,92.72,91.4,,,,,2965,812,2965,812.0,,,,
binary,Phase 2,phase2_concat_common,Phase 2 - 2D+3D Concat Common,phase3,concat,single,clean,No perturbation.,0.0,0.0,0.0,0.0,0.93929173693086,0.929905437352246,93.929173693086,92.99054373522459,0.0,0.0,0.0,0.0,0.9393,0.9299,93.93,92.99,-8.263069140035384e-06,5.4373522460071655e-06,-0.0008263069140035384,0.0005437352246007165,2965,812,2965,812.0,,,,
binary,Phase 2,phase2_concat_common,Phase 2 - 2D+3D Concat Common,phase3,concat,single,gaussian_2d_0.01,Small Gaussian noise on 2D coordinates.,0.01,0.0,0.0,0.0,0.93929173693086,0.929905437352246,93.929173693086,92.99054373522459,0.0,0.0,0.0,0.0,0.9393,0.9299,93.93,92.99,,,,,2965,812,2965,812.0,,,,
binary,Phase 2,phase2_concat_common,Phase 2 - 2D+3D Concat Common,phase3,concat,single,gaussian_2d_0.03,Medium Gaussian noise on 2D coordinates.,0.03,0.0,0.0,0.0,0.9389544688026982,0.9295360961659334,93.89544688026982,92.95360961659334,-0.00033726812816181617,-0.0003693411863125995,-0.03372681281618162,-0.03693411863125995,0.9393,0.9299,93.93,92.99,,,,,2965,812,2965,812.0,,,,
binary,Phase 2,phase2_concat_common,Phase 2 - 2D+3D Concat Common,phase3,concat,single,gaussian_2d_0.05,Strong Gaussian noise on 2D coordinates.,0.05,0.0,0.0,0.0,0.9396290050590219,0.9302749707067777,93.9629005059022,93.02749707067777,0.0003372681281619272,0.00036953335453171476,0.03372681281619272,0.036953335453171476,0.9393,0.9299,93.93,92.99,,,,,2965,812,2965,812.0,,,,
binary,Phase 2,phase2_concat_common,Phase 2 - 2D+3D Concat Common,phase3,concat,single,gaussian_3d_0.01,Small Gaussian noise on 3D coordinates.,0.0,0.01,0.0,0.0,0.93929173693086,0.929905437352246,93.929173693086,92.99054373522459,0.0,0.0,0.0,0.0,0.9393,0.9299,93.93,92.99,,,,,2965,812,2965,812.0,,,,
binary,Phase 2,phase2_concat_common,Phase 2 - 2D+3D Concat Common,phase3,concat,single,gaussian_3d_0.03,Medium Gaussian noise on 3D coordinates.,0.0,0.03,0.0,0.0,0.9399662731871838,0.9307237170951767,93.99662731871838,93.07237170951767,0.0006745362563238544,0.0008182797429306943,0.06745362563238544,0.08182797429306943,0.9393,0.9299,93.93,92.99,,,,,2965,812,2965,812.0,,,,
binary,Phase 2,phase2_concat_common,Phase 2 - 2D+3D Concat Common,phase3,concat,single,gaussian_3d_0.05,Strong Gaussian noise on 3D coordinates.,0.0,0.05,0.0,0.0,0.9396290050590219,0.9302749707067777,93.9629005059022,93.02749707067777,0.0003372681281619272,0.00036953335453171476,0.03372681281619272,0.036953335453171476,0.9393,0.9299,93.93,92.99,,,,,2965,812,2965,812.0,,,,
binary,Phase 2,phase2_concat_common,Phase 2 - 2D+3D Concat Common,phase3,concat,single,missing_joint_0.10,Randomly remove 10 percent of joints.,0.0,0.0,0.1,0.0,0.9288364249578415,0.9187648976684293,92.88364249578414,91.87648976684292,-0.010455311973018522,-0.011140539683816675,-1.0455311973018522,-1.1140539683816675,0.9393,0.9299,93.93,92.99,,,,,2965,812,2965,812.0,,,,
binary,Phase 2,phase2_concat_common,Phase 2 - 2D+3D Concat Common,phase3,concat,single,missing_joint_0.20,Randomly remove 20 percent of joints.,0.0,0.0,0.2,0.0,0.9133220910623946,0.9027402437425819,91.33220910623946,90.27402437425819,-0.025969645868465396,-0.027165193609664073,-2.5969645868465396,-2.7165193609664073,0.9393,0.9299,93.93,92.99,,,,,2965,812,2965,812.0,,,,
binary,Phase 2,phase2_concat_common,Phase 2 - 2D+3D Concat Common,phase3,concat,single,missing_joint_0.30,Randomly remove 30 percent of joints.,0.0,0.0,0.3,0.0,0.8387858347386172,0.8275444575535982,83.87858347386172,82.75444575535982,-0.10050590219224276,-0.10236097979864778,-10.050590219224276,-10.236097979864777,0.9393,0.9299,93.93,92.99,,,,,2965,812,2965,812.0,,,,
binary,Phase 2,phase2_concat_common,Phase 2 - 2D+3D Concat Common,phase3,concat,single,frame_drop_0.10,Drop 10 percent of frames by repeating previous frame.,0.0,0.0,0.0,0.1,0.9396290050590219,0.9302749707067777,93.9629005059022,93.02749707067777,0.0003372681281619272,0.00036953335453171476,0.03372681281619272,0.036953335453171476,0.9393,0.9299,93.93,92.99,,,,,2965,812,2965,812.0,,,,
binary,Phase 2,phase2_concat_common,Phase 2 - 2D+3D Concat Common,phase3,concat,single,frame_drop_0.20,Drop 20 percent of frames by repeating previous frame.,0.0,0.0,0.0,0.2,0.9389544688026982,0.9295761525390522,93.89544688026982,92.95761525390522,-0.00033726812816181617,-0.00032928481319371983,-0.03372681281618162,-0.03292848131937198,0.9393,0.9299,93.93,92.99,,,,,2965,812,2965,812.0,,,,
binary,Phase 2,phase2_concat_common,Phase 2 - 2D+3D Concat Common,phase3,concat,single,frame_drop_0.30,Drop 30 percent of frames by repeating previous frame.,0.0,0.0,0.0,0.3,0.9372681281618886,0.9275276044015657,93.72681281618887,92.75276044015656,-0.002023608768971341,-0.002377832950680281,-0.2023608768971341,-0.2377832950680281,0.9393,0.9299,93.93,92.99,,,,,2965,812,2965,812.0,,,,
binary,Phase 2,phase2_concat_common,Phase 2 - 2D+3D Concat Common,phase3,concat,single,combined_light,Light combined corruption.,0.02,0.02,0.1,0.1,0.9328836424957841,0.9231333821168566,93.28836424957842,92.31333821168566,-0.0064080944350758395,-0.006772055235389374,-0.640809443507584,-0.6772055235389374,0.9393,0.9299,93.93,92.99,,,,,2965,812,2965,812.0,,,,
binary,Phase 2,phase2_concat_common,Phase 2 - 2D+3D Concat Common,phase3,concat,single,combined_heavy,Heavy combined corruption.,0.05,0.05,0.2,0.2,0.9069139966273188,0.8958342880011243,90.69139966273187,89.58342880011243,-0.032377740303541236,-0.034071149351121655,-3.2377740303541236,-3.4071149351121655,0.9393,0.9299,93.93,92.99,,,,,2965,812,2965,812.0,,,,
