dataset,scene,scenario,camera,subject,activity,trial,video_id,video_path,label,label_name,has_annotation,include_eval,label_source,segment_id,segment_start_frame,segment_end_frame,frame_count,fps,width,height,duration_sec,notes
Le2i,Coffee_room_01,,,,,,le2i__Coffee_room_01_Videos_video_1,C:\Users\ASUS\Downloads\3D_Human_Pose_NCKH\phase5_external_generalization\data\external_raw\Le2i\Coffee_room_01\Videos\video (1).avi,1,Fall,True,True,C:\Users\ASUS\Downloads\3D_Human_Pose_NCKH\phase5_external_generalization\data\external_raw\Le2i\Coffee_room_01\Annotation_files\video (1).txt,fall_0,1,156,157,25.0,320,240,6.28,Le2i Fall interval parsed from annotation file.
Le2i,Coffee_room_01,,,,,,le2i__Coffee_room_01_Videos_video_10,C:\Users\ASUS\Downloads\3D_Human_Pose_NCKH\phase5_external_generalization\data\external_raw\Le2i\Coffee_room_01\Videos\video (10).avi,1,Fall,True,True,C:\Users\ASUS\Downloads\3D_Human_Pose_NCKH\phase5_external_generalization\data\external_raw\Le2i\Coffee_room_01\Annotation_files\video (10).txt,fall_0,1,361,362,25.0,320,240,14.48,Le2i Fall interval parsed from annotation file.
Le2i,Coffee_room_01,,,,,,le2i__Coffee_room_01_Videos_video_11,C:\Users\ASUS\Downloads\3D_Human_Pose_NCKH\phase5_external_generalization\data\external_raw\Le2i\Coffee_room_01\Videos\video (11).avi,1,Fall,True,True,C:\Users\ASUS\Downloads\3D_Human_Pose_NCKH\phase5_external_generalization\data\external_raw\Le2i\Coffee_room_01\Annotation_files\video (11).txt,fall_0,1,482,483,25.0,320,240,19.32,Le2i Fall interval parsed from annotation file.
Le2i,Coffee_room_01,,,,,,le2i__Coffee_room_01_Videos_video_12,C:\Users\ASUS\Downloads\3D_Human_Pose_NCKH\phase5_external_generalization\data\external_raw\Le2i\Coffee_room_01\Videos\video (12).avi,1,Fall,True,True,C:\Users\ASUS\Downloads\3D_Human_Pose_NCKH\phase5_external_generalization\data\external_raw\Le2i\Coffee_room_01\Annotation_files\video (12).txt,fall_0,1,181,182,25.0,320,240,7.28,Le2i Fall interval parsed from annotation file.
Le2i,Coffee_room_01,,,,,,le2i__Coffee_room_01_Videos_video_13,C:\Users\ASUS\Downloads\3D_Human_Pose_NCKH\phase5_external_generalization\data\external_raw\Le2i\Coffee_room_01\Videos\video (13).avi,1,Fall,True,True,C:\Users\ASUS\Downloads\3D_Human_Pose_NCKH\phase5_external_generalization\data\external_raw\Le2i\Coffee_room_01\Annotation_files\video (13).txt,fall_0,1,243,244,25.0,320,240,9.76,Le2i Fall interval parsed from annotation file.
Le2i,Coffee_room_01,,,,,,le2i__Coffee_room_01_Videos_video_14,C:\Users\ASUS\Downloads\3D_Human_Pose_NCKH\phase5_external_generalization\data\external_raw\Le2i\Coffee_room_01\Videos\video (14).avi,1,Fall,True,True,C:\Users\ASUS\Downloads\3D_Human_Pose_NCKH\phase5_external_generalization\data\external_raw\Le2i\Coffee_room_01\Annotation_files\video (14).txt,fall_0,1,175,176,25.0,320,240,7.04,Le2i Fall interval parsed from annotation file.
Le2i,Coffee_room_01,,,,,,le2i__Coffee_room_01_Videos_video_15,C:\Users\ASUS\Downloads\3D_Human_Pose_NCKH\phase5_external_generalization\data\external_raw\Le2i\Coffee_room_01\Videos\video (15).avi,1,Fall,True,True,C:\Users\ASUS\Downloads\3D_Human_Pose_NCKH\phase5_external_generalization\data\external_raw\Le2i\Coffee_room_01\Annotation_files\video (15).txt,fall_0,1,139,140,25.0,320,240,5.6,Le2i Fall interval parsed from annotation file.
Le2i,Coffee_room_01,,,,,,le2i__Coffee_room_01_Videos_video_16,C:\Users\ASUS\Downloads\3D_Human_Pose_NCKH\phase5_external_generalization\data\external_raw\Le2i\Coffee_room_01\Videos\video (16).avi,1,Fall,True,True,C:\Users\ASUS\Downloads\3D_Human_Pose_NCKH\phase5_external_generalization\data\external_raw\Le2i\Coffee_room_01\Annotation_files\video (16).txt,fall_0,1,176,177,25.0,320,240,7.08,Le2i Fall interval parsed from annotation file.
Le2i,Coffee_room_01,,,,,,le2i__Coffee_room_01_Videos_video_17,C:\Users\ASUS\Downloads\3D_Human_Pose_NCKH\phase5_external_generalization\data\external_raw\Le2i\Coffee_room_01\Videos\video (17).avi,1,Fall,True,True,C:\Users\ASUS\Downloads\3D_Human_Pose_NCKH\phase5_external_generalization\data\external_raw\Le2i\Coffee_room_01\Annotation_files\video (17).txt,fall_0,1,157,158,25.0,320,240,6.32,Le2i Fall interval parsed from annotation file.
Le2i,Coffee_room_01,,,,,,le2i__Coffee_room_01_Videos_video_18,C:\Users\ASUS\Downloads\3D_Human_Pose_NCKH\phase5_external_generalization\data\external_raw\Le2i\Coffee_room_01\Videos\video (18).avi,1,Fall,True,True,C:\Users\ASUS\Downloads\3D_Human_Pose_NCKH\phase5_external_generalization\data\external_raw\Le2i\Coffee_room_01\Annotation_files\video (18).txt,fall_0,1,268,269,25.0,320,240,10.76,Le2i Fall interval parsed from annotation file.
