video_path,output_path,status,frames_total,frames_written,no_person_frames,multi_person_frames,elapsed_sec,error,dataset,video_id,expected_frame_count,expected_fps,expected_width,expected_height
C:\Users\ASUS\Downloads\3D_Human_Pose_NCKH\phase5_external_generalization\data\external_raw\Le2i\Coffee_room_01\Videos\video (1).avi,C:\Users\ASUS\Downloads\3D_Human_Pose_NCKH\phase5_external_generalization\data\extracted_2d_confidence\Le2i\le2i_Coffee_room_01_Videos_video_1_2d_confidence.csv,success,157,157,7,0,3.2101211547851562,,Le2i,le2i__Coffee_room_01_Videos_video_1,157,25.0,320,240
C:\Users\ASUS\Downloads\3D_Human_Pose_NCKH\phase5_external_generalization\data\external_raw\Le2i\Coffee_room_01\Videos\video (10).avi,C:\Users\ASUS\Downloads\3D_Human_Pose_NCKH\phase5_external_generalization\data\extracted_2d_confidence\Le2i\le2i_Coffee_room_01_Videos_video_10_2d_confidence.csv,success,362,362,0,0,4.830083847045898,,Le2i,le2i__Coffee_room_01_Videos_video_10,362,25.0,320,240
C:\Users\ASUS\Downloads\3D_Human_Pose_NCKH\phase5_external_generalization\data\external_raw\Le2i\Coffee_room_01\Videos\video (11).avi,C:\Users\ASUS\Downloads\3D_Human_Pose_NCKH\phase5_external_generalization\data\extracted_2d_confidence\Le2i\le2i_Coffee_room_01_Videos_video_11_2d_confidence.csv,success,483,483,0,0,6.500278472900391,,Le2i,le2i__Coffee_room_01_Videos_video_11,483,25.0,320,240
C:\Users\ASUS\Downloads\3D_Human_Pose_NCKH\phase5_external_generalization\data\external_raw\Le2i\Coffee_room_01\Videos\video (12).avi,C:\Users\ASUS\Downloads\3D_Human_Pose_NCKH\phase5_external_generalization\data\extracted_2d_confidence\Le2i\le2i_Coffee_room_01_Videos_video_12_2d_confidence.csv,success,182,182,0,0,2.447744607925415,,Le2i,le2i__Coffee_room_01_Videos_video_12,182,25.0,320,240
C:\Users\ASUS\Downloads\3D_Human_Pose_NCKH\phase5_external_generalization\data\external_raw\Le2i\Coffee_room_01\Videos\video (13).avi,C:\Users\ASUS\Downloads\3D_Human_Pose_NCKH\phase5_external_generalization\data\extracted_2d_confidence\Le2i\le2i_Coffee_room_01_Videos_video_13_2d_confidence.csv,success,244,244,136,0,3.098006010055542,,Le2i,le2i__Coffee_room_01_Videos_video_13,244,25.0,320,240
C:\Users\ASUS\Downloads\3D_Human_Pose_NCKH\phase5_external_generalization\data\external_raw\Le2i\Coffee_room_01\Videos\video (14).avi,C:\Users\ASUS\Downloads\3D_Human_Pose_NCKH\phase5_external_generalization\data\extracted_2d_confidence\Le2i\le2i_Coffee_room_01_Videos_video_14_2d_confidence.csv,success,176,176,0,0,2.3875038623809814,,Le2i,le2i__Coffee_room_01_Videos_video_14,176,25.0,320,240
C:\Users\ASUS\Downloads\3D_Human_Pose_NCKH\phase5_external_generalization\data\external_raw\Le2i\Coffee_room_01\Videos\video (15).avi,C:\Users\ASUS\Downloads\3D_Human_Pose_NCKH\phase5_external_generalization\data\extracted_2d_confidence\Le2i\le2i_Coffee_room_01_Videos_video_15_2d_confidence.csv,success,140,140,0,0,1.8831901550292969,,Le2i,le2i__Coffee_room_01_Videos_video_15,140,25.0,320,240
C:\Users\ASUS\Downloads\3D_Human_Pose_NCKH\phase5_external_generalization\data\external_raw\Le2i\Coffee_room_01\Videos\video (16).avi,C:\Users\ASUS\Downloads\3D_Human_Pose_NCKH\phase5_external_generalization\data\extracted_2d_confidence\Le2i\le2i_Coffee_room_01_Videos_video_16_2d_confidence.csv,success,177,177,0,0,2.4611387252807617,,Le2i,le2i__Coffee_room_01_Videos_video_16,177,25.0,320,240
C:\Users\ASUS\Downloads\3D_Human_Pose_NCKH\phase5_external_generalization\data\external_raw\Le2i\Coffee_room_01\Videos\video (17).avi,C:\Users\ASUS\Downloads\3D_Human_Pose_NCKH\phase5_external_generalization\data\extracted_2d_confidence\Le2i\le2i_Coffee_room_01_Videos_video_17_2d_confidence.csv,success,158,158,0,0,2.133744716644287,,Le2i,le2i__Coffee_room_01_Videos_video_17,158,25.0,320,240
C:\Users\ASUS\Downloads\3D_Human_Pose_NCKH\phase5_external_generalization\data\external_raw\Le2i\Coffee_room_01\Videos\video (18).avi,C:\Users\ASUS\Downloads\3D_Human_Pose_NCKH\phase5_external_generalization\data\extracted_2d_confidence\Le2i\le2i_Coffee_room_01_Videos_video_18_2d_confidence.csv,success,269,269,0,0,3.624079942703247,,Le2i,le2i__Coffee_room_01_Videos_video_18,269,25.0,320,240
C:\Users\ASUS\Downloads\3D_Human_Pose_NCKH\phase5_external_generalization\data\external_raw\Le2i\Coffee_room_01\Videos\video (19).avi,C:\Users\ASUS\Downloads\3D_Human_Pose_NCKH\phase5_external_generalization\data\extracted_2d_confidence\Le2i\le2i_Coffee_room_01_Videos_video_19_2d_confidence.csv,success,213,213,0,0,2.824251413345337,,Le2i,le2i__Coffee_room_01_Videos_video_19,213,25.0,320,240
C:\Users\ASUS\Downloads\3D_Human_Pose_NCKH\phase5_external_generalization\data\external_raw\Le2i\Coffee_room_01\Videos\video (2).avi,C:\Users\ASUS\Downloads\3D_Human_Pose_NCKH\phase5_external_generalization\data\extracted_2d_confidence\Le2i\le2i_Coffee_room_01_Videos_video_2_2d_confidence.csv,success,306,306,0,0,4.1013500690460205,,Le2i,le2i__Coffee_room_01_Videos_video_2,306,25.0,320,240
C:\Users\ASUS\Downloads\3D_Human_Pose_NCKH\phase5_external_generalization\data\external_raw\Le2i\Coffee_room_01\Videos\video (20).avi,C:\Users\ASUS\Downloads\3D_Human_Pose_NCKH\phase5_external_generalization\data\extracted_2d_confidence\Le2i\le2i_Coffee_room_01_Videos_video_20_2d_confidence.csv,success,444,444,0,0,5.967770576477051,,Le2i,le2i__Coffee_room_01_Videos_video_20,444,25.0,320,240
C:\Users\ASUS\Downloads\3D_Human_Pose_NCKH\phase5_external_generalization\data\external_raw\Le2i\Coffee_room_01\Videos\video (21).avi,C:\Users\ASUS\Downloads\3D_Human_Pose_NCKH\phase5_external_generalization\data\extracted_2d_confidence\Le2i\le2i_Coffee_room_01_Videos_video_21_2d_confidence.csv,success,182,182,1,0,2.4739296436309814,,Le2i,le2i__Coffee_room_01_Videos_video_21,182,25.0,320,240
C:\Users\ASUS\Downloads\3D_Human_Pose_NCKH\phase5_external_generalization\data\external_raw\Le2i\Coffee_room_01\Videos\video (22).avi,C:\Users\ASUS\Downloads\3D_Human_Pose_NCKH\phase5_external_generalization\data\extracted_2d_confidence\Le2i\le2i_Coffee_room_01_Videos_video_22_2d_confidence.csv,success,229,229,0,0,3.07631254196167,,Le2i,le2i__Coffee_room_01_Videos_video_22,229,25.0,320,240
C:\Users\ASUS\Downloads\3D_Human_Pose_NCKH\phase5_external_generalization\data\external_raw\Le2i\Coffee_room_01\Videos\video (23).avi,C:\Users\ASUS\Downloads\3D_Human_Pose_NCKH\phase5_external_generalization\data\extracted_2d_confidence\Le2i\le2i_Coffee_room_01_Videos_video_23_2d_confidence.csv,success,311,311,3,0,4.261491775512695,,Le2i,le2i__Coffee_room_01_Videos_video_23,311,25.0,320,240
C:\Users\ASUS\Downloads\3D_Human_Pose_NCKH\phase5_external_generalization\data\external_raw\Le2i\Coffee_room_01\Videos\video (24).avi,C:\Users\ASUS\Downloads\3D_Human_Pose_NCKH\phase5_external_generalization\data\extracted_2d_confidence\Le2i\le2i_Coffee_room_01_Videos_video_24_2d_confidence.csv,success,267,267,0,13,4.010127305984497,,Le2i,le2i__Coffee_room_01_Videos_video_24,267,25.0,320,240
C:\Users\ASUS\Downloads\3D_Human_Pose_NCKH\phase5_external_generalization\data\external_raw\Le2i\Coffee_room_01\Videos\video (25).avi,C:\Users\ASUS\Downloads\3D_Human_Pose_NCKH\phase5_external_generalization\data\extracted_2d_confidence\Le2i\le2i_Coffee_room_01_Videos_video_25_2d_confidence.csv,success,262,262,0,0,4.2386298179626465,,Le2i,le2i__Coffee_room_01_Videos_video_25,262,25.0,320,240
C:\Users\ASUS\Downloads\3D_Human_Pose_NCKH\phase5_external_generalization\data\external_raw\Le2i\Coffee_room_01\Videos\video (26).avi,C:\Users\ASUS\Downloads\3D_Human_Pose_NCKH\phase5_external_generalization\data\extracted_2d_confidence\Le2i\le2i_Coffee_room_01_Videos_video_26_2d_confidence.csv,success,278,278,0,0,4.489795207977295,,Le2i,le2i__Coffee_room_01_Videos_video_26,278,25.0,320,240
C:\Users\ASUS\Downloads\3D_Human_Pose_NCKH\phase5_external_generalization\data\external_raw\Le2i\Coffee_room_01\Videos\video (27).avi,C:\Users\ASUS\Downloads\3D_Human_Pose_NCKH\phase5_external_generalization\data\extracted_2d_confidence\Le2i\le2i_Coffee_room_01_Videos_video_27_2d_confidence.csv,success,253,253,0,0,3.891195297241211,,Le2i,le2i__Coffee_room_01_Videos_video_27,253,25.0,320,240
C:\Users\ASUS\Downloads\3D_Human_Pose_NCKH\phase5_external_generalization\data\external_raw\Le2i\Coffee_room_01\Videos\video (28).avi,C:\Users\ASUS\Downloads\3D_Human_Pose_NCKH\phase5_external_generalization\data\extracted_2d_confidence\Le2i\le2i_Coffee_room_01_Videos_video_28_2d_confidence.csv,success,175,175,3,0,2.97798490524292,,Le2i,le2i__Coffee_room_01_Videos_video_28,175,25.0,320,240
