dataset,video_id,video_path,input_2d_path,raw_3d_path,normalized_3d_path,status,method,frames_2d,frames_raw_3d,frames_normalized_3d,xyz_dim,model_feature_dim_after_loader,num_poseformer_frames,num_proxy_frames,num_missing_3d_frames,elapsed_sec,error
Le2i,le2i__Coffee_room_01_Videos_video_1,C:\Users\ASUS\Downloads\3D_Human_Pose_NCKH\phase5_external_generalization\data\external_raw\Le2i\Coffee_room_01\Videos\video (1).avi,C:\Users\ASUS\Downloads\3D_Human_Pose_NCKH\phase5_external_generalization\data\extracted_2d_confidence\Le2i\le2i_Coffee_room_01_Videos_video_1_2d_confidence.csv,C:\Users\ASUS\Downloads\3D_Human_Pose_NCKH\phase5_external_generalization\data\extracted_3d\Le2i\le2i_Coffee_room_01_Videos_video_1_raw_3d.csv,C:\Users\ASUS\Downloads\3D_Human_Pose_NCKH\phase5_external_generalization\data\normalized_3d\Le2i\le2i_Coffee_room_01_Videos_video_1_normalized_3d.csv,success,poseformer,157,157,157,51,59,122,26,9,1.6128087043762207,
Le2i,le2i__Coffee_room_01_Videos_video_10,C:\Users\ASUS\Downloads\3D_Human_Pose_NCKH\phase5_external_generalization\data\external_raw\Le2i\Coffee_room_01\Videos\video (10).avi,C:\Users\ASUS\Downloads\3D_Human_Pose_NCKH\phase5_external_generalization\data\extracted_2d_confidence\Le2i\le2i_Coffee_room_01_Videos_video_10_2d_confidence.csv,C:\Users\ASUS\Downloads\3D_Human_Pose_NCKH\phase5_external_generalization\data\extracted_3d\Le2i\le2i_Coffee_room_01_Videos_video_10_raw_3d.csv,C:\Users\ASUS\Downloads\3D_Human_Pose_NCKH\phase5_external_generalization\data\normalized_3d\Le2i\le2i_Coffee_room_01_Videos_video_10_normalized_3d.csv,success,poseformer,362,362,362,51,59,336,26,0,4.354102611541748,
Le2i,le2i__Coffee_room_01_Videos_video_11,C:\Users\ASUS\Downloads\3D_Human_Pose_NCKH\phase5_external_generalization\data\external_raw\Le2i\Coffee_room_01\Videos\video (11).avi,C:\Users\ASUS\Downloads\3D_Human_Pose_NCKH\phase5_external_generalization\data\extracted_2d_confidence\Le2i\le2i_Coffee_room_01_Videos_video_11_2d_confidence.csv,C:\Users\ASUS\Downloads\3D_Human_Pose_NCKH\phase5_external_generalization\data\extracted_3d\Le2i\le2i_Coffee_room_01_Videos_video_11_raw_3d.csv,C:\Users\ASUS\Downloads\3D_Human_Pose_NCKH\phase5_external_generalization\data\normalized_3d\Le2i\le2i_Coffee_room_01_Videos_video_11_normalized_3d.csv,success,poseformer,483,483,483,51,59,457,26,0,5.505887985229492,
Le2i,le2i__Coffee_room_01_Videos_video_12,C:\Users\ASUS\Downloads\3D_Human_Pose_NCKH\phase5_external_generalization\data\external_raw\Le2i\Coffee_room_01\Videos\video (12).avi,C:\Users\ASUS\Downloads\3D_Human_Pose_NCKH\phase5_external_generalization\data\extracted_2d_confidence\Le2i\le2i_Coffee_room_01_Videos_video_12_2d_confidence.csv,C:\Users\ASUS\Downloads\3D_Human_Pose_NCKH\phase5_external_generalization\data\extracted_3d\Le2i\le2i_Coffee_room_01_Videos_video_12_raw_3d.csv,C:\Users\ASUS\Downloads\3D_Human_Pose_NCKH\phase5_external_generalization\data\normalized_3d\Le2i\le2i_Coffee_room_01_Videos_video_12_normalized_3d.csv,success,poseformer,182,182,182,51,59,156,26,0,1.796811819076538,
Le2i,le2i__Coffee_room_01_Videos_video_13,C:\Users\ASUS\Downloads\3D_Human_Pose_NCKH\phase5_external_generalization\data\external_raw\Le2i\Coffee_room_01\Videos\video (13).avi,C:\Users\ASUS\Downloads\3D_Human_Pose_NCKH\phase5_external_generalization\data\extracted_2d_confidence\Le2i\le2i_Coffee_room_01_Videos_video_13_2d_confidence.csv,C:\Users\ASUS\Downloads\3D_Human_Pose_NCKH\phase5_external_generalization\data\extracted_3d\Le2i\le2i_Coffee_room_01_Videos_video_13_raw_3d.csv,C:\Users\ASUS\Downloads\3D_Human_Pose_NCKH\phase5_external_generalization\data\normalized_3d\Le2i\le2i_Coffee_room_01_Videos_video_13_normalized_3d.csv,success,poseformer,244,244,244,51,59,79,29,136,0.9301397800445557,
Le2i,le2i__Coffee_room_01_Videos_video_14,C:\Users\ASUS\Downloads\3D_Human_Pose_NCKH\phase5_external_generalization\data\external_raw\Le2i\Coffee_room_01\Videos\video (14).avi,C:\Users\ASUS\Downloads\3D_Human_Pose_NCKH\phase5_external_generalization\data\extracted_2d_confidence\Le2i\le2i_Coffee_room_01_Videos_video_14_2d_confidence.csv,C:\Users\ASUS\Downloads\3D_Human_Pose_NCKH\phase5_external_generalization\data\extracted_3d\Le2i\le2i_Coffee_room_01_Videos_video_14_raw_3d.csv,C:\Users\ASUS\Downloads\3D_Human_Pose_NCKH\phase5_external_generalization\data\normalized_3d\Le2i\le2i_Coffee_room_01_Videos_video_14_normalized_3d.csv,success,poseformer,176,176,176,51,59,150,26,0,1.7290098667144775,
Le2i,le2i__Coffee_room_01_Videos_video_15,C:\Users\ASUS\Downloads\3D_Human_Pose_NCKH\phase5_external_generalization\data\external_raw\Le2i\Coffee_room_01\Videos\video (15).avi,C:\Users\ASUS\Downloads\3D_Human_Pose_NCKH\phase5_external_generalization\data\extracted_2d_confidence\Le2i\le2i_Coffee_room_01_Videos_video_15_2d_confidence.csv,C:\Users\ASUS\Downloads\3D_Human_Pose_NCKH\phase5_external_generalization\data\extracted_3d\Le2i\le2i_Coffee_room_01_Videos_video_15_raw_3d.csv,C:\Users\ASUS\Downloads\3D_Human_Pose_NCKH\phase5_external_generalization\data\normalized_3d\Le2i\le2i_Coffee_room_01_Videos_video_15_normalized_3d.csv,success,poseformer,140,140,140,51,59,114,26,0,1.2667458057403564,
Le2i,le2i__Coffee_room_01_Videos_video_16,C:\Users\ASUS\Downloads\3D_Human_Pose_NCKH\phase5_external_generalization\data\external_raw\Le2i\Coffee_room_01\Videos\video (16).avi,C:\Users\ASUS\Downloads\3D_Human_Pose_NCKH\phase5_external_generalization\data\extracted_2d_confidence\Le2i\le2i_Coffee_room_01_Videos_video_16_2d_confidence.csv,C:\Users\ASUS\Downloads\3D_Human_Pose_NCKH\phase5_external_generalization\data\extracted_3d\Le2i\le2i_Coffee_room_01_Videos_video_16_raw_3d.csv,C:\Users\ASUS\Downloads\3D_Human_Pose_NCKH\phase5_external_generalization\data\normalized_3d\Le2i\le2i_Coffee_room_01_Videos_video_16_normalized_3d.csv,success,poseformer,177,177,177,51,59,151,26,0,1.782865285873413,
Le2i,le2i__Coffee_room_01_Videos_video_17,C:\Users\ASUS\Downloads\3D_Human_Pose_NCKH\phase5_external_generalization\data\external_raw\Le2i\Coffee_room_01\Videos\video (17).avi,C:\Users\ASUS\Downloads\3D_Human_Pose_NCKH\phase5_external_generalization\data\extracted_2d_confidence\Le2i\le2i_Coffee_room_01_Videos_video_17_2d_confidence.csv,C:\Users\ASUS\Downloads\3D_Human_Pose_NCKH\phase5_external_generalization\data\extracted_3d\Le2i\le2i_Coffee_room_01_Videos_video_17_raw_3d.csv,C:\Users\ASUS\Downloads\3D_Human_Pose_NCKH\phase5_external_generalization\data\normalized_3d\Le2i\le2i_Coffee_room_01_Videos_video_17_normalized_3d.csv,success,poseformer,158,158,158,51,59,132,26,0,1.530517816543579,
Le2i,le2i__Coffee_room_01_Videos_video_18,C:\Users\ASUS\Downloads\3D_Human_Pose_NCKH\phase5_external_generalization\data\external_raw\Le2i\Coffee_room_01\Videos\video (18).avi,C:\Users\ASUS\Downloads\3D_Human_Pose_NCKH\phase5_external_generalization\data\extracted_2d_confidence\Le2i\le2i_Coffee_room_01_Videos_video_18_2d_confidence.csv,C:\Users\ASUS\Downloads\3D_Human_Pose_NCKH\phase5_external_generalization\data\extracted_3d\Le2i\le2i_Coffee_room_01_Videos_video_18_raw_3d.csv,C:\Users\ASUS\Downloads\3D_Human_Pose_NCKH\phase5_external_generalization\data\normalized_3d\Le2i\le2i_Coffee_room_01_Videos_video_18_normalized_3d.csv,success,poseformer,269,269,269,51,59,243,26,0,2.9097654819488525,
Le2i,le2i__Coffee_room_01_Videos_video_19,C:\Users\ASUS\Downloads\3D_Human_Pose_NCKH\phase5_external_generalization\data\external_raw\Le2i\Coffee_room_01\Videos\video (19).avi,C:\Users\ASUS\Downloads\3D_Human_Pose_NCKH\phase5_external_generalization\data\extracted_2d_confidence\Le2i\le2i_Coffee_room_01_Videos_video_19_2d_confidence.csv,C:\Users\ASUS\Downloads\3D_Human_Pose_NCKH\phase5_external_generalization\data\extracted_3d\Le2i\le2i_Coffee_room_01_Videos_video_19_raw_3d.csv,C:\Users\ASUS\Downloads\3D_Human_Pose_NCKH\phase5_external_generalization\data\normalized_3d\Le2i\le2i_Coffee_room_01_Videos_video_19_normalized_3d.csv,success,poseformer,213,213,213,51,59,187,26,0,2.772188186645508,
Le2i,le2i__Coffee_room_01_Videos_video_2,C:\Users\ASUS\Downloads\3D_Human_Pose_NCKH\phase5_external_generalization\data\external_raw\Le2i\Coffee_room_01\Videos\video (2).avi,C:\Users\ASUS\Downloads\3D_Human_Pose_NCKH\phase5_external_generalization\data\extracted_2d_confidence\Le2i\le2i_Coffee_room_01_Videos_video_2_2d_confidence.csv,C:\Users\ASUS\Downloads\3D_Human_Pose_NCKH\phase5_external_generalization\data\extracted_3d\Le2i\le2i_Coffee_room_01_Videos_video_2_raw_3d.csv,C:\Users\ASUS\Downloads\3D_Human_Pose_NCKH\phase5_external_generalization\data\normalized_3d\Le2i\le2i_Coffee_room_01_Videos_video_2_normalized_3d.csv,success,poseformer,306,306,306,51,59,280,26,0,3.626798629760742,
Le2i,le2i__Coffee_room_01_Videos_video_20,C:\Users\ASUS\Downloads\3D_Human_Pose_NCKH\phase5_external_generalization\data\external_raw\Le2i\Coffee_room_01\Videos\video (20).avi,C:\Users\ASUS\Downloads\3D_Human_Pose_NCKH\phase5_external_generalization\data\extracted_2d_confidence\Le2i\le2i_Coffee_room_01_Videos_video_20_2d_confidence.csv,C:\Users\ASUS\Downloads\3D_Human_Pose_NCKH\phase5_external_generalization\data\extracted_3d\Le2i\le2i_Coffee_room_01_Videos_video_20_raw_3d.csv,C:\Users\ASUS\Downloads\3D_Human_Pose_NCKH\phase5_external_generalization\data\normalized_3d\Le2i\le2i_Coffee_room_01_Videos_video_20_normalized_3d.csv,success,poseformer,444,444,444,51,59,418,26,0,5.858267068862915,
